material	series_id	volume_ratio	volume_per_atom_angstrom3	experiment_id	converged	energy_ev_per_atom	pressure_gpa	nominal_electron_relative_error
al	ofdft	0.9	14.946778124999998	S1-20260805-029	True	-57.12328566458523	11.8523237	0.0
al	ofdft	0.94	15.611079375000001	S1-20260805-030	True	-57.1612832249164	6.6691071	0.0
al	ofdft	0.97	16.109305312500002	S1-20260805-031	True	-57.17691763321217	3.4757366	0.0
al	ofdft	1.0	16.607531249999997	S1-20260805-032	True	-57.1834143481411	0.7789224	0.0
al	ofdft	1.03	17.105757187499997	S1-20260805-033	True	-57.18220107174402	-1.4940346	0.0
al	ofdft	1.06	17.603983125	S1-20260805-034	True	-57.17449822716212	-3.4041643	0.0
al	ofdft	1.1	18.268284375000007	S1-20260805-035	True	-57.15591952889311	-5.4741692	0.0
al	ksdft_standard	0.9	14.946778124999998	S1-20260805-036	True	-57.1469687284	10.270216000000001	0.0
al	ksdft_standard	0.94	15.611079375000001	S1-20260805-037	True	-57.1788522393	5.3773578	0.0
al	ksdft_standard	0.97	16.109305312500002	S1-20260805-038	True	-57.1906945677	2.3872755000000003	0.0
al	ksdft_standard	1.0	16.607531249999997	S1-20260805-039	True	-57.1940324895	-0.1202419	0.0
al	ksdft_standard	1.03	17.105757187499997	S1-20260805-040	True	-57.1902407395	-2.2200985	0.0
al	ksdft_standard	1.06	17.603983125	S1-20260805-041	True	-57.1804737172	-3.9742586000000006	0.0
al	ksdft_standard	1.1	18.268284375000007	S1-20260805-042	True	-57.1598421879	-5.862386600000001	0.0
al	ksdft_half	0.9	14.946778124999998	S1-20260805-043	True	-57.146716247	10.234571200000001	0.0
al	ksdft_half	0.94	15.611079375000001	S1-20260805-044	True	-57.1786433644	5.3510158	0.0
al	ksdft_half	0.97	16.109305312500002	S1-20260805-045	True	-57.1905211104	2.3683635	0.0
al	ksdft_half	1.0	16.607531249999997	S1-20260805-046	True	-57.1939152672	-0.1296062	0.0
al	ksdft_half	1.03	17.105757187499997	S1-20260805-047	True	-57.1902007305	-2.2258561	0.0
al	ksdft_half	1.06	17.603983125	S1-20260805-048	True	-57.1804906294	-3.9873505000000002	0.0
al	ksdft_half	1.1	18.268284375000007	S1-20260805-049	True	-57.1598506065	-5.882699800000001	0.0
mg	ofdft	0.9	20.9168001283956	S1-20260805-050	True	-24.652460070748326	0.8065950000000002	0.0
mg	ofdft	0.94	21.84643568965763	S1-20260805-051	True	-24.652313605855134	-0.8001879000000001	0.0
mg	ofdft	0.97	22.54366236060415	S1-20260805-052	True	-24.646598126523628	-1.8001139	0.0
mg	ofdft	1.0	23.240889031550665	S1-20260805-053	True	-24.63685968215511	-2.6528749000000005	0.0
mg	ofdft	1.03	23.938115702497186	S1-20260805-054	True	-24.62369159526798	-3.3795395	0.0
mg	ofdft	1.06	24.635342373443706	S1-20260805-055	True	-24.607603130128265	-3.9977306	0.0
mg	ofdft	1.1	25.56497793470574	S1-20260805-056	True	-24.582357980903158	-4.6788707	0.0
mg	ksdft_standard	0.9	20.9168001283956	S1-20260805-057	True	-24.672376719	0.5155628	0.0
mg	ksdft_standard	0.94	21.84643568965763	S1-20260805-058	True	-24.6703211052	-1.1002629000000002	0.0
mg	ksdft_standard	0.97	22.54366236060415	S1-20260805-059	True	-24.6631519217	-2.1024108	0.0
mg	ksdft_standard	1.0	23.240889031550665	S1-20260805-060	True	-24.6519570005	-2.9538810000000004	0.0
mg	ksdft_standard	1.03	23.938115702497186	S1-20260805-061	True	-24.63734182665	-3.6763387000000005	0.0
mg	ksdft_standard	1.06	24.635342373443706	S1-20260805-062	True	-24.6198266318	-4.2876304	0.0
mg	ksdft_standard	1.1	25.56497793470574	S1-20260805-063	True	-24.59272816265	-4.955926300000001	0.0
mg	ksdft_half	0.9	20.9168001283956	S1-20260805-064	True	-24.6722542344	0.4968208	0.0
mg	ksdft_half	0.94	21.84643568965763	S1-20260805-065	True	-24.6702749238	-1.1172256	0.0
mg	ksdft_half	0.97	22.54366236060415	S1-20260805-066	True	-24.66316915485	-2.1189093	0.0
mg	ksdft_half	1.0	23.240889031550665	S1-20260805-067	True	-24.6520397736	-2.9706663	0.0
mg	ksdft_half	1.03	23.938115702497186	S1-20260805-068	True	-24.6374891465	-3.6941352000000003	0.0
mg	ksdft_half	1.06	24.635342373443706	S1-20260805-069	True	-24.6200337785	-4.307180600000001	0.0
mg	ksdft_half	1.1	25.56497793470574	S1-20260805-070	True	-24.59300071805	-4.9786902	0.0
