source_experiment_id	audit_experiment_id	scope	material	series_id	solver	volume_ratio	density_format	density_path	density_sha256	expected_electrons	integrated_electrons	relative_error	certified_relative_error	accepted	delta_energy_mev_per_atom	delta_pressure_gpa	scientific_equivalence_accepted	evidence_revision	kmp_contract_accepted	kmp_rank_lifecycle_count	kmp_successful_syscall_count	point_accepted
S1-20260805-029	S1-20260805-121	primary_baseline	al	ofdft	ofdft	0.9	abacus_cube_text_bohr_minus_3	runs/S1-20260805-121/OUT.g1_ne_121_from_029/chg.cube	7c642c3f7311c843f78b15b1549082728608e555d78bc0cd61fed5466f4c5862	3.0	3.0000000000000004	7.893132156049907e-17	8.058776310403403e-17	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-030	S1-20260805-122	primary_baseline	al	ofdft	ofdft	0.9400000000000002	abacus_cube_text_bohr_minus_3	runs/S1-20260805-122/OUT.g1_ne_122_from_030/chg.cube	65d25ca4a99da7663d51d64d5c886cedcffc56c1bc96c9e9777ff9171aa2c19c	3.0	3.0000000000000004	9.06215435239136e-17	9.235160469160566e-17	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-031	S1-20260805-123	primary_baseline	al	ofdft	ofdft	0.9700000000000003	abacus_cube_text_bohr_minus_3	runs/S1-20260805-123/OUT.g1_ne_123_from_031/chg.cube	8beb523e420ee39626a63a4308f3ba49bb8dba878aaa43250339fa6a49dc2c12	3.0	2.9999999999999987	4.190274611858084e-16	4.2081853499059793e-16	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-032	S1-20260805-124	primary_baseline	al	ofdft	ofdft	1.0	abacus_cube_text_bohr_minus_3	runs/S1-20260805-124/OUT.g1_ne_124_from_032/chg.cube	f168decbbe0d8eff31462c339d6867e014f413507519234dece117d9b6e8c3ce	3.0	2.9999999999999996	7.877335850216782e-17	8.061982634215702e-17	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-033	S1-20260805-125	primary_baseline	al	ofdft	ofdft	1.03	abacus_cube_text_bohr_minus_3	runs/S1-20260805-125/OUT.g1_ne_125_from_033/chg.cube	ce8914d4b0371059ba56f1536193fd9b450fa23fbbe49762a26cd2797d47b1e0	3.0	3.0	1.4771561384882294e-17	1.6673423260071172e-17	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-034	S1-20260805-126	primary_baseline	al	ofdft	ofdft	1.06	abacus_cube_text_bohr_minus_3	runs/S1-20260805-126/OUT.g1_ne_126_from_034/chg.cube	0afd36084698712606c898dc3cf3569e85e4286a2ef123c95fa03d7df219e44d	3.0	2.999999999999999	3.584497015425969e-16	3.6040695745298545e-16	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-035	S1-20260805-127	primary_baseline	al	ofdft	ofdft	1.1000000000000005	abacus_cube_text_bohr_minus_3	runs/S1-20260805-127/OUT.g1_ne_127_from_035/chg.cube	279b290b2fc2000ce3efa20b1f6a4c47aadacf1d2acbd57d867c47a4addde434	3.0	2.9999999999999996	8.44683583927437e-17	8.649947301673182e-17	True	0.0	0.0	True	r1_reused_accepted_ofdft	True	4	12	True
S1-20260805-036		primary_baseline	al	ksdft_standard	ksdft	0.9	abacus_reciprocal_restart_little_endian	runs/S1-20260805-036/OUT.s1_al_v090_ksdft_standard/s1_al_v090_ksdft_standard-CHARGE-DENSITY.restart	c759b08aab3ac1ea6fb129bfb4aa8bb5e4a63ad7dbee84b2433552f06705977e	3.0	2.999999999969738	1.0087312943025601e-11	1.0087312943025601e-11	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-037		primary_baseline	al	ksdft_standard	ksdft	0.9400000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-037/OUT.s1_al_v094_ksdft_standard/s1_al_v094_ksdft_standard-CHARGE-DENSITY.restart	2aa159dc9d6a62eb81c0aa73a1264e7ae0cf86b0d9e87bd91a3a092a2f4d0e04	3.0	3.000000000002644	8.813485211685098e-13	8.813485211685098e-13	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-038		primary_baseline	al	ksdft_standard	ksdft	0.9700000000000003	abacus_reciprocal_restart_little_endian	runs/S1-20260805-038/OUT.s1_al_v097_ksdft_standard/s1_al_v097_ksdft_standard-CHARGE-DENSITY.restart	a3b5faacf92b723e39bed38647fe0a72e53c15cc3665930d8537995239808f8e	3.0	2.9999999999813722	6.209263258073644e-12	6.209263258073644e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-039		primary_baseline	al	ksdft_standard	ksdft	1.0	abacus_reciprocal_restart_little_endian	runs/S1-20260805-039/OUT.s1_al_v100_ksdft_standard/s1_al_v100_ksdft_standard-CHARGE-DENSITY.restart	c5f73e168aa0a01d2e4089c8cd3edf0d4e4797c29d69561154585338461b9a01	3.0	2.999999999990056	3.3146688943999447e-12	3.3146688943999447e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-040		primary_baseline	al	ksdft_standard	ksdft	1.03	abacus_reciprocal_restart_little_endian	runs/S1-20260805-040/OUT.s1_al_v103_ksdft_standard/s1_al_v103_ksdft_standard-CHARGE-DENSITY.restart	5b84a764f7e59e3973ab41248be07d4631515119bbdb4743270ef8bf2e5f63d5	3.0	2.999999999984165	5.278307500666829e-12	5.278307500666829e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-041		primary_baseline	al	ksdft_standard	ksdft	1.06	abacus_reciprocal_restart_little_endian	runs/S1-20260805-041/OUT.s1_al_v106_ksdft_standard/s1_al_v106_ksdft_standard-CHARGE-DENSITY.restart	2c93c262e7e4ee313bfc15a8dd221eeb9f395c983c9eed24bd4e0bc0b4b2f31d	3.0	3.000000000005686	1.895395787223772e-12	1.895395787223772e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-042		primary_baseline	al	ksdft_standard	ksdft	1.1000000000000005	abacus_reciprocal_restart_little_endian	runs/S1-20260805-042/OUT.s1_al_v110_ksdft_standard/s1_al_v110_ksdft_standard-CHARGE-DENSITY.restart	16042494525e4afc74c2f003ba842c3320fd2eff7298a79c14a69bc6ec148b0b	3.0	2.999999999986886	4.371295544106165e-12	4.371295544106165e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-043		primary_baseline	al	ksdft_half	ksdft	0.9	abacus_reciprocal_restart_little_endian	runs/S1-20260805-043/OUT.s1_al_v090_ksdft_half/s1_al_v090_ksdft_half-CHARGE-DENSITY.restart	cf060273d64cc79d860f72faa0b3600b2546202db43c645762e6e2b84f3b5c65	3.0	3.0000000000089178	2.97265758790228e-12	2.97265758790228e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-044		primary_baseline	al	ksdft_half	ksdft	0.9400000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-044/OUT.s1_al_v094_ksdft_half/s1_al_v094_ksdft_half-CHARGE-DENSITY.restart	2b97c097d376fee05b49724a9b57a0f63ced1dea9288a9e5d4e5d560ac4bb898	3.0	3.0000000000303833	1.0127696865884852e-11	1.0127696865884852e-11	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-045		primary_baseline	al	ksdft_half	ksdft	0.9700000000000003	abacus_reciprocal_restart_little_endian	runs/S1-20260805-045/OUT.s1_al_v097_ksdft_half/s1_al_v097_ksdft_half-CHARGE-DENSITY.restart	2865315bf879b856c71f9881c0966a4cce8549f0f4f3412d9a8b1c03bb638a6e	3.0	3.0000000000047247	1.5748346225962423e-12	1.5748346225962423e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-046		primary_baseline	al	ksdft_half	ksdft	1.0	abacus_reciprocal_restart_little_endian	runs/S1-20260805-046/OUT.s1_al_v100_ksdft_half/s1_al_v100_ksdft_half-CHARGE-DENSITY.restart	7b443625fb7ae4c622c3d8e42d8c1cf7a2254c27ce32e03ef415974aaccc2b96	3.0	2.9999999999925975	2.467533709097541e-12	2.467533709097541e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-047		primary_baseline	al	ksdft_half	ksdft	1.03	abacus_reciprocal_restart_little_endian	runs/S1-20260805-047/OUT.s1_al_v103_ksdft_half/s1_al_v103_ksdft_half-CHARGE-DENSITY.restart	427f184f9efaa5491bfc85cac55486e140abded21b06b44fb94956178a908226	3.0	2.9999999999752114	8.262943880400613e-12	8.262943880400613e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-048		primary_baseline	al	ksdft_half	ksdft	1.06	abacus_reciprocal_restart_little_endian	runs/S1-20260805-048/OUT.s1_al_v106_ksdft_half/s1_al_v106_ksdft_half-CHARGE-DENSITY.restart	db90ddcb457d2f17676f85fe0d0099d429ef1ce80ff26feb5df4ab9942088c82	3.0	3.000000000028997	9.665608479337744e-12	9.665608479337744e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-049		primary_baseline	al	ksdft_half	ksdft	1.1000000000000005	abacus_reciprocal_restart_little_endian	runs/S1-20260805-049/OUT.s1_al_v110_ksdft_half/s1_al_v110_ksdft_half-CHARGE-DENSITY.restart	201f70625c6f45b308a3af8fdaa42149ca947195d74c6e608e659b64c38222fd	3.0	3.0000000000162377	5.4125455592921494e-12	5.4125455592921494e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
