gate	source	value	limit	inequality	affects_overall	accepted	interpretation
al_delta_v0_percent	R3	0.7660177031576967	1.0	<=	True	True	revised_user_authorized_gate
al_delta_b0_percent	R3	2.46585262559075	10.0	<=	True	True	unchanged_gate
ks_l_bm3_residual_mev_per_atom	R3	0.02345245947310559	1.0	<	True	True	unchanged_gate
ks_nl_bm3_residual_mev_per_atom	R3	0.05675314747577431	1.0	<	True	True	unchanged_gate
anchored_curve_max_mev_per_atom	R3	7.117917500004012	20.0	<=	True	True	unchanged_gate
historical_delta_v0_0p5_percent	R3	0.7660177031576967	0.5	>	False	True	historical_rejection_preserved_not_rewritten
of_l_vs_ks_l_error_portrait	R3	1.2126673593465813	1.0	portrait	False	True	accepted_error_portrait_not_physical_accuracy
r5_strain_S1-20260810-351_absolute_scheme_and_construction_difference_mev_per_atom	R5	0.23832079999408506	20.0	<=	True	True	unchanged_R5_gate
r5_strain_S1-20260810-352_absolute_scheme_and_construction_difference_mev_per_atom	R5	0.23433039999787297	20.0	<=	True	True	unchanged_R5_gate
r5_strain_S1-20260810-353_absolute_scheme_and_construction_difference_mev_per_atom	R5	0.004608300010033872	20.0	<=	True	True	unchanged_R5_gate
r5_strain_S1-20260810-354_absolute_scheme_and_construction_difference_mev_per_atom	R5	0.004608400004713076	20.0	<=	True	True	unchanged_R5_gate
r5_endpoint_v090_anchored_k_difference_mev_per_atom	R5	0.008772699999326505	2.0	<	True	True	unchanged_R5_gate
r5_endpoint_v090_anchored_cutoff_difference_mev_per_atom	R5	0.11227989999440524	1.0	<	True	True	unchanged_R5_gate
r5_endpoint_v090_cutoff_pressure_difference_gpa	R5	0.004055200000001591	0.02	<	True	True	unchanged_R5_gate
r5_endpoint_v110_anchored_k_difference_mev_per_atom	R5	0.0917003000040495	2.0	<	True	True	unchanged_R5_gate
r5_endpoint_v110_anchored_cutoff_difference_mev_per_atom	R5	0.03827180000826047	1.0	<	True	True	unchanged_R5_gate
r5_endpoint_v110_cutoff_pressure_difference_gpa	R5	0.002397900000000952	0.02	<	True	True	unchanged_R5_gate
