experiment_id	material	volume_ratio	abacus_run_id	volume_per_atom_angstrom3	grid	electron_count_independent	electron_count_abs_error	abacus_energy_ev_per_atom	dftpy_energy_ev_per_atom	absolute_energy_difference_mev_per_atom	abacus_relative_energy_mev_per_atom	dftpy_relative_energy_mev_per_atom	relative_energy_difference_mev_per_atom	abacus_pressure_gpa	dftpy_pressure_gpa	pressure_difference_gpa	density_sha256	status
DFTPY-S1-20260810-015	al	0.9	S1-20260805-071	14.946778144743469	20x20x20	3.000000000000002	2.220446049250313e-15	-57.12327593426614	-57.123254994996756	0.020939269383291048	60.12714482287862	60.127117254282325	-2.7568596294713643e-05	11.8521534	11.852014065853544	-0.00013933414645705966	4a79f272c7d93e1210ad96ad43a320bb77a641fc47bef4a61e0ab11c2001fa77	accepted
DFTPY-S1-20260810-016	al	0.94	S1-20260805-072	15.611079395620962	20x20x20	2.9999999999999964	3.552713678800501e-15	-57.16127277701166	-57.16125181486997	0.02096214169000632	22.130302077357555	22.130297381067976	-4.6962895794422366e-06	6.669006	6.667969698639953	-0.001036301360047176	c334740400564fa1db46268a56464a2ddea14b4386b3687a16e36a7483e2071b	accepted
DFTPY-S1-20260810-017	al	0.97	S1-20260805-073	16.10930533377908	20x20x20	2.9999999999999982	1.7763568394002505e-15	-57.17690672859376	-57.17688576199685	0.020966596906646373	6.496350495261538	6.496350254188599	-2.410729393886868e-07	3.4756105	3.4747678589943534	-0.0008426410056467937	5b5ca3d34cddc3ccebf0a9afdc83c7fb39ad630680a7344e3dc3c8a5c7b68b38	accepted
DFTPY-S1-20260810-018	al	1.0	S1-20260805-074	16.607531271937194	20x20x20	2.999999999999999	8.881784197001252e-16	-57.18340307908902	-57.18338211225104	0.020966837979585762	0.0	0.0	0.0	0.7788303000000001	0.7788637653143174	3.346531431736022e-05	adc419af662cde115c5fe71826b9bf7997cdfcc22b145363145ae86e8c94e56a	accepted
DFTPY-S1-20260810-019	al	1.03	S1-20260805-075	17.105757210095305	20x20x20	2.9999999999999996	4.440892098500626e-16	-57.18218954612344	-57.18216857226059	0.020973862845607982	1.2135329655791338	1.213539990445156	7.024866022220522e-06	-1.4940611000000001	-1.4950155949529016	-0.0009544949529014524	f7d2be557339ddcfa0257bfdb06d82f9f2ba64b6f9a394f463450424ec998647	accepted
DFTPY-S1-20260810-020	al	1.06	S1-20260805-076	17.603983148253423	20x20x20	2.9999999999999987	1.3322676295501878e-15	-57.1744865619548	-57.17446559003707	0.02097191772776341	8.916517134217372	8.91652221396555	5.07974817764989e-06	-3.404188	-3.404510014399639	-0.00032201439963897016	99f1f968565a1d07d82716a766c3dd9697da17cbc9119f93d0e6d402264727af	accepted
DFTPY-S1-20260810-021	al	1.1	S1-20260805-077	18.26828439913092	20x20x20	2.999999999999999	8.881784197001252e-16	-57.15590785951032	-57.155886886909094	0.02097260122724265	27.495219578696606	27.495225341944263	5.763247656886961e-06	-5.474148400000001	-5.474390255936065	-0.00024185593606418365	d4fceea7d1d516cad6837ce12c139e0fa903e58a81b7255c7be8a2c3ac48c2a8	accepted
DFTPY-S1-20260810-022	mg	0.9	S1-20260805-092	20.916800156024983	24x24x40	3.9999999999999942	5.773159728050814e-15	-24.652460079099264	-24.6524510316722	0.009047427063535451	-15.600390429895583	-15.599760137092744	0.0006302928028389942	0.8065639	0.8066210038520003	5.710385200030643e-05	5d664e2e356116eebb268c71e4930452ba15bf4d6156078a606d36d29d5d1710	accepted
DFTPY-S1-20260810-023	mg	0.94	S1-20260805-093	21.846435718514982	24x24x40	4.000000000000002	1.7763568394002505e-15	-24.65231361954864	-24.65230456980074	0.009049747898615124	-15.453930879271383	-15.453298265633464	0.0006326136379186664	-0.8001448	-0.8001388745142167	5.9254857832646834e-06	9361f409af46c9641e06bf28ebbd7969f25eea9972a4088151829f2722e9d7e1	accepted
DFTPY-S1-20260810-024	mg	0.97	S1-20260805-094	22.543662390382483	25x25x40	4.000000000000003	2.6645352591003757e-15	-24.64659813177612	-24.6465896331355	0.008498640621468212	-9.73844310675176	-9.738361600390988	8.150636077175477e-05	-1.8000921000000003	-1.8001434218855366	-5.13218855362485e-05	fc6606cd9fc8b09ea2634774a00102648c680844c098c64d9b01338394e7bac3	accepted
DFTPY-S1-20260810-025	mg	1.0	S1-20260805-095	23.24088906224998	25x25x40	3.999999999999998	2.220446049250313e-15	-24.636859688669368	-24.636851271535107	0.008417134260696457	0.0	0.0	0.0	-2.6528819	-2.652936137850386	-5.423785038605189e-05	ed8aa2f9956f889709e546ef7f57409c2fc4dfd4d8320a5616189f7fee2a5035	accepted
DFTPY-S1-20260810-026	mg	1.03	S1-20260805-096	23.93811573411748	25x25x45	3.9999999999999996	4.440892098500626e-16	-24.623691599730478	-24.6236833911303	0.00820860017824998	13.168088938890321	13.167880404807875	-0.00020853408244647653	-3.3795342	-3.37950221321717	3.198678283000689e-05	77f1e0c8082f82a07386310b56e841806a561470a244affdd0f341ec71b84738	accepted
DFTPY-S1-20260810-027	mg	1.06	S1-20260805-097	24.635342405984986	25x25x45	3.9999999999999996	4.440892098500626e-16	-24.60760313489801	-24.607595049437787	0.008085460223128393	29.25655377135783	29.25622209732026	-0.0003316740375680638	-3.9977692	-3.9976641313712933	0.00010506862870673928	e52c2e47dd61a43dec9956de9129827df2528698cecc68ec82844245847a0b3a	accepted
DFTPY-S1-20260810-028	mg	1.1	S1-20260805-098	25.564977968474988	25x25x45	3.999999999999999	8.881784197001252e-16	-24.58235798697865	-24.582350054365268	0.007932613382166664	54.50170169071811	54.50121716983958	-0.00048452087852979275	-4.6788925	-4.678852118209794	4.0381790205934465e-05	e4557a28bb480b815049f804d97b219e64149c1c4123d618919732422212cf37	accepted
