experiment_id	material	kind	pair_id	sign	atom_count	E_ec_ev_per_atom	pressure_gpa	electron_relative_error	cube_geometry_error_bohr	identity_residual_ev_per_atom	elapsed_seconds	status
S1-20260810-201	al	al_2x1x1_base		0	2	-57.1952441481	-0.186888	1.6224059133188955e-12	1.5808104203429707e-05	2.98096e-11	588.7196264881641	accepted
S1-20260810-202	al	al_2x1x1_displacement_x	al_displacement_x	+	2	-57.1951885719	-0.1850043	6.76495896338262e-13	1.5808104203429707e-05	3.49505e-12	581.515913230367	accepted
S1-20260810-203	al	al_2x1x1_displacement_x	al_displacement_x	-	2	-57.1951885723	-0.1849977	3.571217395877587e-12	1.5808104203429707e-05	1.073005e-11	587.7686697673053	accepted
S1-20260810-204	al	al_tetragonal	al_tetragonal	+	1	-57.1946516190	-0.1790264	1.2390088954816747e-13	1.1608017857600572e-05	9.57064e-11	274.13656596280634	accepted
S1-20260810-205	al	al_tetragonal	al_tetragonal	-	1	-57.1946653354	-0.1693004	8.591645913232545e-13	9.927031840994971e-06	6.79645e-11	270.7352204127237	accepted
S1-20260810-206	al	al_shear_xy	al_shear_xy	+	1	-57.1945539005	-0.1727102	4.604464957462066e-12	8.595947898371037e-06	1.526119e-10	271.28690881095827	accepted
S1-20260810-207	al	al_shear_xy	al_shear_xy	-	1	-57.1945539006	-0.1727175	4.9327949132778786e-12	9.927031840994971e-06	2.68458e-11	270.78837981354445	accepted
S1-20260810-208	mg	mg_displacement_basal_x	mg_displacement_basal_x	+	2	-24.6523835063	-3.0084485	5.926370505449086e-12	1.510546434957405e-05	3.13271e-11	210.809172289446	accepted
S1-20260810-209	mg	mg_displacement_basal_x	mg_displacement_basal_x	-	2	-24.65238350645	-3.0084473	2.7828850335254174e-12	1.510546434957405e-05	2.74437e-11	211.11149636656046	accepted
S1-20260810-210	mg	mg_displacement_c_z	mg_displacement_c_z	+	2	-24.6523416708	-3.0074461	8.378631122241131e-12	1.510546434957405e-05	4.28148e-11	231.0919811371714	accepted
S1-20260810-211	mg	mg_displacement_c_z	mg_displacement_c_z	-	2	-24.65234167085	-3.0074478	6.06248384826813e-12	1.510546434957405e-05	1.39259e-11	231.3916620174423	accepted
S1-20260810-212	mg	mg_axial	mg_axial	+	2	-24.6523095465	-3.0065603	3.080535826427422e-12	1.9819008327814913e-05	3.865315e-11	231.08700203802437	accepted
S1-20260810-213	mg	mg_axial	mg_axial	-	2	-24.6522231528	-3.0041459	1.9662049766111522e-12	1.002993702847732e-05	3.017065e-11	230.28362822253257	accepted
S1-20260810-214	mg	mg_shear_xz	mg_shear_xz	+	2	-24.6523583015	-3.0084405	1.8999246620410304e-12	1.510546434957405e-05	1.471225e-11	229.13311459776014	accepted
S1-20260810-215	mg	mg_shear_xz	mg_shear_xz	-	2	-24.65235830165	-3.0084387	6.529221607820546e-12	1.510546434957405e-05	2.810685e-11	230.93518872465938	accepted
