case_id	source_run_id	material	label	source_ev_per_cell	replay_ev_per_cell	absolute_delta	delta_units	limit	accepted
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	F	-57.148453709042776	-57.148453709042776	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	m	-0.0006644293	-0.0006644293	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	U	-57.147789279742774	-57.147789279742774	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	E_ec	-57.1481214944	-57.1481214944	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	E_one_elec	41.2265329528	41.2265329528	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	E_localpp	17.145336947	17.145336947	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	T_sU	24.0811960058	24.0811960058	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	F_s	24.0805315765	24.0805315765	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	E_Hartree	0.1364562264	0.1364562264	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	E_xc	-22.5327146417	-22.5327146417	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	E_Ewald	-75.9780638172	-75.9780638172	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-015	S1-20260807-047	al	mu	9.0469507658	9.0469507658	0.0	meV	0.1	True
S1-G1-REGEN10-20260810-016	S1-20260807-043	al	F	-57.1950535692407	-57.1950535692407	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-016	S1-20260807-043	al	m	-0.000915642	-0.000915642	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-016	S1-20260807-043	al	U	-57.194137927240696	-57.194137927240696	0.0	meV/atom	0.1	True
S1-G1-REGEN10-20260810-016	S1-20260807-043	al	E_ec	-57.1945957483	-57.1945957483	0.0	meV/atom	0.1	True
