comparison_kind	coarse_experiment_id	reference_experiment_id	coarse_logical_experiment_id	reference_logical_experiment_id	d1	d2	dg	rms_g_ev	accepted	error
half_to_quarter_hard_gate	S1-20260807-059	S1-20260807-047	S1-20260806-007	S1-20260806-021	4.454309768445586e-05	5.332958452865604e-05	9.300287231393627e-06	9.263041974750616e-05	True	
half_to_quarter_hard_gate	S1-20260807-060	S1-20260807-073	S1-20260806-008	S1-20260806-022	7.184005327894357e-05	8.29324292373548e-05	1.619006420540437e-05	0.0001575527790640039	True	
half_to_quarter_hard_gate	S1-20260807-061	S1-20260807-074	S1-20260806-009	S1-20260806-023	5.5655572037060144e-05	6.405774793323726e-05	1.166474187037116e-05	0.00011166869422288563	True	
half_to_quarter_hard_gate	S1-20260807-062	S1-20260807-043	S1-20260806-010	S1-20260806-024	2.6758816854561274e-05	3.2392903673997724e-05	3.805763918462754e-06	3.586982985538537e-05	True	
half_to_quarter_hard_gate	S1-20260807-063	S1-20260807-075	S1-20260806-011	S1-20260806-025	8.414593730232794e-05	9.858174720736842e-05	1.2310123975248833e-05	0.0001143182718300688	True	
half_to_quarter_hard_gate	S1-20260807-064	S1-20260807-076	S1-20260806-012	S1-20260806-026	0.00010357253070735324	0.00012131642266272069	1.3988423770080764e-05	0.0001280865491393869	True	
half_to_quarter_hard_gate	S1-20260807-065	S1-20260807-049	S1-20260806-013	S1-20260806-027	7.095021294589688e-05	8.328785438692039e-05	1.131551860766552e-05	0.00010179073901808344	True	
half_to_quarter_hard_gate	S1-20260807-066	S1-20260807-051	S1-20260806-014	S1-20260806-028	7.84519124604896e-05	9.317832017496083e-05	6.8198995963356744e-06	5.392977306629688e-05	True	
half_to_quarter_hard_gate	S1-20260807-067	S1-20260807-077	S1-20260806-015	S1-20260806-029	2.793720929706972e-05	3.555251646916629e-05	3.168007247155219e-06	2.444637136428376e-05	True	
half_to_quarter_hard_gate	S1-20260807-068	S1-20260807-078	S1-20260806-016	S1-20260806-030	4.2071888663933115e-05	4.740389694806363e-05	3.107369937738473e-06	2.3565312255824058e-05	True	
half_to_quarter_hard_gate	S1-20260807-069	S1-20260807-045	S1-20260806-017	S1-20260806-031	7.363016934568896e-05	8.256662110231211e-05	4.995210616812381e-06	3.725819225467759e-05	True	
half_to_quarter_hard_gate	S1-20260807-070	S1-20260807-079	S1-20260806-018	S1-20260806-032	7.192451594833798e-05	7.976042487881703e-05	4.672848282583404e-06	3.4304739096721856e-05	True	
half_to_quarter_hard_gate	S1-20260807-071	S1-20260807-080	S1-20260806-019	S1-20260806-033	8.753170322132339e-05	9.91681988802821e-05	6.541395749561749e-06	4.729832877601298e-05	True	
half_to_quarter_hard_gate	S1-20260807-072	S1-20260807-041	S1-20260806-020	S1-20260806-034	0.00014572448288815236	0.0001814167832101416	1.1932022127085602e-05	8.463081769949398e-05	True	
standard_to_half_diagnostic_only	S1-20260807-053	S1-20260807-059	S1-20260806-001	S1-20260806-007	6.726903182657914e-05	7.765785452605398e-05	1.4472993427772077e-05	0.0001441499384107915	True	
standard_to_half_diagnostic_only	S1-20260807-054	S1-20260807-062	S1-20260806-002	S1-20260806-010	7.458640089141796e-05	8.800918078778317e-05	1.2399062642410422e-05	0.00011686299016010447	True	
standard_to_half_diagnostic_only	S1-20260807-055	S1-20260807-065	S1-20260806-003	S1-20260806-013	0.00010582328906854318	0.00012353185293978444	1.575320348663596e-05	0.00014171134147085022	True	
standard_to_half_diagnostic_only	S1-20260807-056	S1-20260807-066	S1-20260806-004	S1-20260806-014	0.00021095755314352622	0.0002649150825124182	2.0039109293651538e-05	0.0001584635387225677	True	
standard_to_half_diagnostic_only	S1-20260807-057	S1-20260807-069	S1-20260806-005	S1-20260806-017	0.00020715878226799833	0.0002630944449406589	1.6447311729728172e-05	0.00012267696573858722	True	
standard_to_half_diagnostic_only	S1-20260807-058	S1-20260807-072	S1-20260806-006	S1-20260806-020	0.00022840001737379757	0.0002931475448544211	1.6857013397824396e-05	0.00011956245232241965	True	
common_to_extra_k_hard_gate	S1-20260807-047	S1-20260807-048	S1-20260806-021	S1-20260806-035	0.00029401305262967447	0.00036973948332888327	3.3255999535784225e-05	0.0003312291115090271	True	
common_to_extra_k_hard_gate	S1-20260807-043	S1-20260807-044	S1-20260806-024	S1-20260806-036	0.00021598242293763896	0.00025562203881344584	2.8480899055492758e-05	0.00026843894276849784	True	
common_to_extra_k_hard_gate	S1-20260807-049	S1-20260807-050	S1-20260806-027	S1-20260806-037	0.00028737677738514486	0.000353976738787454	5.274729520169094e-05	0.0004745058404066488	True	
common_to_extra_k_hard_gate	S1-20260807-051	S1-20260807-052	S1-20260806-028	S1-20260806-038	0.00032837327254887027	0.000427651352865574	2.6597265929620135e-05	0.00021032534008492466	True	
common_to_extra_k_hard_gate	S1-20260807-045	S1-20260807-046	S1-20260806-031	S1-20260806-039	0.00026151483844391837	0.00032005104602728947	2.024249097530948e-05	0.00015098466949289697	True	
common_to_extra_k_hard_gate	S1-20260807-041	S1-20260807-042	S1-20260806-034	S1-20260806-040	0.00022729325121412908	0.000286826219540916	1.8562919698226186e-05	0.00013166190652086457	True	
