material	smearing_level	volume_ratio	volume_per_atom_angstrom3	experiment_id	logical_experiment_id	evidence_origin	e_ec_ev_per_atom	free_energy_ev_per_atom	entropy_minus_ts_ev_per_atom	pressure_gpa
al	half	0.9	14.946778144743469	S1-20260807-059	S1-20260806-007	r4_executed	-57.1480208193	-57.14954862857827	-0.0030556185	10.2169468
al	half	0.94	15.61107939562096	S1-20260807-060	S1-20260806-008	r4_executed	-57.1797146023	-57.181365717214305	-0.0033022299	5.3114457
al	half	0.97	16.109305333779073	S1-20260807-061	S1-20260806-009	r4_executed	-57.1913992827	-57.19312987308618	-0.0034611809	2.3295522
al	half	1.0	16.607531271937187	S1-20260807-062	S1-20260806-010	r4_executed	-57.1946315011	-57.19639891104772	-0.0035348199	-0.1674161
al	half	1.03	17.1057572100953	S1-20260807-063	S1-20260806-011	r4_executed	-57.1907732092	-57.19254529607644	-0.0035441738	-2.2633215
al	half	1.06	17.603983148253416	S1-20260807-064	S1-20260806-012	r4_executed	-57.1809450964	-57.18271486648108	-0.0035395402	-4.0203366
al	half	1.1	18.268284399130913	S1-20260807-065	S1-20260806-013	r4_executed	-57.1602104593	-57.16198597425678	-0.00355103	-5.912072
al	quarter	0.9	14.946778144743469	S1-20260807-047	S1-20260806-021	r4_executed	-57.1481214944	-57.148453709042776	-0.0006644293	10.1969901
al	quarter	0.94	15.61107939562096	S1-20260807-073	S1-20260806-022	r4_executed	-57.1797843531	-57.180158330050446	-0.0007479538	5.2809381
al	quarter	0.97	16.109305333779073	S1-20260807-074	S1-20260806-023	r4_executed	-57.1914108542	-57.19183230365593	-0.000842899	2.305063
al	quarter	1.0	16.607531271937187	S1-20260807-043	S1-20260806-024	r4_executed	-57.1945957483	-57.1950535692407	-0.000915642	-0.1735794
al	quarter	1.03	17.1057572100953	S1-20260807-075	S1-20260806-025	r4_executed	-57.19073762	-57.1911983403203	-0.0009214407	-2.2603686
al	quarter	1.06	17.603983148253416	S1-20260807-076	S1-20260806-026	r4_executed	-57.1809294242	-57.18137988933194	-0.0009009303	-4.0158658
al	quarter	1.1	18.268284399130913	S1-20260807-049	S1-20260806-027	r4_executed	-57.1602480344	-57.16066973989738	-0.0008434111	-5.9079214
al	standard	0.9	14.946778124999998	S1-20260805-085		immutable_dense_standard_scalar_source	-57.1480374062	-57.15420368150192	-0.0123325505	10.270569
al	standard	0.94	15.611079375000001	S1-20260805-086		immutable_dense_standard_scalar_source	-57.1798578256	-57.18624935840467	-0.0127830656	5.3637409
al	standard	0.97	16.109305312500002	S1-20260805-087		immutable_dense_standard_scalar_source	-57.1916167747	-57.19815508716101	-0.0130766249	2.3671837
al	standard	1.0	16.607531249999997	S1-20260805-088		immutable_dense_standard_scalar_source	-57.1948547395	-57.20151602323623	-0.0133225674	-0.1450817
al	standard	1.03	17.105757187499997	S1-20260805-089		immutable_dense_standard_scalar_source	-57.1909507923	-57.1977183316356	-0.0135350788	-2.2480965
al	standard	1.06	17.603983125	S1-20260805-090		immutable_dense_standard_scalar_source	-57.1810659883	-57.1879354261104	-0.0137388755	-4.0039879
al	standard	1.1	18.268284375000007	S1-20260805-091		immutable_dense_standard_scalar_source	-57.1602719342	-57.16728272479061	-0.0140215811	-5.8931294
mg	half	0.9	20.91680015602498	S1-20260807-066	S1-20260806-014	r4_executed	-24.67310187885	-24.674444157114475	-0.00268455655	0.4650713
mg	half	0.94	21.84643571851498	S1-20260807-067	S1-20260806-015	r4_executed	-24.670892007	-24.672288470736433	-0.00279292745	-1.1499694
mg	half	0.97	22.54366239038248	S1-20260807-068	S1-20260806-016	r4_executed	-24.66360492235	-24.665047168843405	-0.002884493	-2.1509805
mg	half	1.0	23.240889062249977	S1-20260807-069	S1-20260806-017	r4_executed	-24.65229477055	-24.65378700193908	-0.0029844628	-3.0008493
mg	half	1.03	23.93811573411747	S1-20260807-070	S1-20260806-018	r4_executed	-24.63757153295	-24.639117310810025	-0.0030915557	-3.7211967
mg	half	1.06	24.63534240598498	S1-20260807-071	S1-20260806-019	r4_executed	-24.61995962535	-24.621561616568783	-0.0032039824	-4.3299949
