material	series	experiment_id	volume_ratio	volume_angstrom3_per_atom	energy_ev_per_atom	anchored_energy_mev_per_atom	pressure_gpa	scientific_role	source_result_sha256	source_stru_sha256
al	ks_l	S1-20260807-047	0.9	14.946778124999996	-57.1481214944	46.47425390000137	10.1969901	legacy_local_PP_quarter_smearing_E_ec	b59caf173656e5d06b196d93eef2d8674d72fac363eb68e23a79ccfd6bb80399	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea
al	ks_l	S1-20260807-073	0.94	15.611079375	-57.1797843531	14.811395200005961	5.2809381	legacy_local_PP_quarter_smearing_E_ec	e5a8c004ec954061c222ec985396c6fda545aad33ff2a17e6e68a05217f9d275	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4
al	ks_l	S1-20260807-074	0.97	16.1093053125	-57.1914108542	3.1848941000021114	2.305063	legacy_local_PP_quarter_smearing_E_ec	d7cf7cbdf35213488d18bae16fd951c44946d7061c9e12b67597ebb71ed64c8e	afbc4693ab7f9da60ef2058d39a42af782e41982f8e64f06ee52a66b76c4150f
al	ks_l	S1-20260807-043	1.0	16.607531249999994	-57.1945957483	0.0	-0.17357940000000002	legacy_local_PP_quarter_smearing_E_ec	4fa704cf358d71156fe39b458d0528095ab62353ce12c5e88bd6691f777c1c1a	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437
al	ks_l	S1-20260807-075	1.03	17.105757187499993	-57.19073762	3.858128300002761	-2.2603686	legacy_local_PP_quarter_smearing_E_ec	f2466cae0be5bb0e1d52da2d2c02564b8e3c73dd124b88a4a59ed5876e43996f	2f36cb943594eb0cc81dcd3e7b6fd906e9e5da6f898fc5cfa9065db72589a683
al	ks_l	S1-20260807-076	1.06	17.603983124999996	-57.1809294242	13.666324100000793	-4.0158658	legacy_local_PP_quarter_smearing_E_ec	3dc98961180d3f4459ee72a64f2f611f180b264ca5682bc7c9e1a27d18e75de2	c178b63db14ecf1fb24c1daaa8dd0db5803f5f584865bb537393b8cb108f2d36
al	ks_l	S1-20260807-049	1.1	18.268284375	-57.1602480344	34.34771390000435	-5.9079214	legacy_local_PP_quarter_smearing_E_ec	75bd92ee12c8cd73647324dc5316f7de8891dea60c4f3992ef8feb82869cb988	c3bbf795bf196b357cd95e7d4ba619229ad687896346ffe1bfd19a3ed463cfb1
al	ks_nl	S1-20260810-327	0.9	14.946778124999996	-63.0238781543	39.35633639999736	9.2379369	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	0032e69c2202007f3cbd0ffa53a152bc87c8e86cae8ed903f94ed5eb673f7f6a	54b5c56f06469137e71ba046c5a53b9904b2013a16eaa3e7cc745d3360b4c5ad
al	ks_nl	S1-20260810-329	0.94	15.611079375	-63.0522257069	11.008783799994148	4.5768377000000005	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	8aacbda7dd1d5c852785b0782a8b62ed6cee32efad6713596ed59f30e408247b	e3d54e4436fb51ae7f671bf87b4f75a0872dce6b236f1512f72f13e37a463ddc
al	ks_nl	S1-20260810-330	0.97	16.1093053125	-63.0618718276	1.3626630999965528	1.6801772	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	c73594d5786e231720baaf2b2e4203ace7bd114091177738c538e2598b167008	5cbcabe9d5436dd803f2e059e878406519f9273a6c3e9aa10b0077ab49313dbb
al	ks_nl	S1-20260810-301	1.0	16.607531249999994	-63.0632344907	0.0	-0.7740748	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	d7ef3e238b92ead5f5fb3a0533a3adfb7f005f9799ac72248f6f3219e11d898f	edbce5c05e32bbe3cc79f7d2759b3385c86550fdc1fec76d2d658988475200cf
al	ks_nl	S1-20260810-331	1.03	17.105757187499993	-63.0575143589	5.720131799996864	-2.8637297	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	d36c1b0b4beae50b3f34ca15512c2ff8da1806007da6ac7346e6e514351716bd	ee33a31d7f2a069b69d27fc3465b8f89533c91a6c4e4fb8dcd586a6b698ab550
al	ks_nl	S1-20260810-332	1.06	17.603983124999996	-63.0457932725	17.441218199998332	-4.6072589	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	d4d4e949cdda68c8a84d88da631970513699236c4ebac2fe03912bfc573e8023	c71466242930f0803bff2726532cdff8537da60d3a83192a627599f473bb166f
al	ks_nl	S1-20260810-328	1.1	18.268284375	-63.0226446074	40.589883300000906	-6.4607495	ABACUS_PBE3e_PseudoDojo_KS_NL_Al_hard_EOS	e5b1f961b6da77627c1f593bed6166da9d0d403c708f890fffeacb5bb3a7b738	56e255d9333a1041614c38716c1a7585d3cf14bae58285ee26480e49aed2da8d
al	of_l	S1-20260805-071	0.9	14.946778124999996	-57.12327593426614	60.12714482287862	11.8521534	legacy_local_PP_OFDFT_total_energy	9045f6337faf968b24b9eb42df1248ea29d27d84a84c5065a0f5da4b938f5066	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea
al	of_l	S1-20260805-072	0.94	15.611079375	-57.16127277701166	22.130302077357555	6.669006	legacy_local_PP_OFDFT_total_energy	a86c67686139488656641d32798a7d83f6ce0bb78717cb7e0066fd0e0556d4a2	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4
