1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/4612 Cartesian=0.0000000 0.0000000 0.0000000 (4031 plane wave)
 1 -70.55481454254982 0.0002170138888889109
 2 -70.55205210245191 0.0002170138888889109
 3 -37.34454873324982 0.0002170138888889109
 4 -37.31685414077004 0.0002170138888889109
 5 -37.31685414047642 0.0002170138888889109
 6 -37.31388463369298 0.0002170138888889109
 7 -37.31221789730512 0.0002170138888889109
 8 -37.31221789701185 0.0002170138888889109
 9 -1.380333975754351 0.0002170138888889109
 10 3.840922840187572 0.0002170138888889109
 11 4.260693311857723 0.0002170138888889109
 12 16.42710821530943 0.000000000000000
 13 16.42710821566230 0.000000000000000
 14 16.48344040183706 0.000000000000000
 15 16.48344040223564 0.000000000000000
 16 17.32346377363146 0.000000000000000
 17 18.84430743250345 0.000000000000000
 18 19.88512409242800 0.000000000000000
 19 19.98122120116846 0.000000000000000
 20 20.61753130693216 0.000000000000000

 spin=1 k-point=2/4612 Cartesian=0.01298269666189090 0.007495563412549970 0.000000000000000 (4039 plane wave)
 1 -70.55477451249267 0.0004340277777778218
 2 -70.55203328543149 0.0004340277777778218
 3 -37.34438353227615 0.0004340277777778218
 4 -37.31722767216704 0.0004340277777778218
 5 -37.31697722200946 0.0004340277777778218
 6 -37.31395687881510 0.0004340277777778218
 7 -37.31260748794731 0.0004340277777778218
 8 -37.31228586402371 0.0004340277777778218
 9 -1.346323418853872 0.0004340277777778218
 10 3.871929290839885 0.0004340277777778218
 11 4.293772975699256 0.0004340277777778218
 12 15.39420669603401 0.000000000000000
 13 15.79321237749922 0.000000000000000
 14 16.50584519717666 0.000000000000000
 15 17.16874121929119 0.000000000000000
 16 17.80832884534173 0.000000000000000
 17 19.25864782955207 0.000000000000000
 18 19.88509003432353 0.000000000000000
 19 20.01346947628778 0.000000000000000
 20 20.06939673345879 0.000000000000000

 spin=1 k-point=3/4612 Cartesian=0.02596539332377698 0.01499112682509716 0.000000000000000 (4061 plane wave)
 1 -70.55465651773851 0.0004340277777778218
 2 -70.55197885589166 0.0004340277777778218
 3 -37.34389510784134 0.0004340277777778218
 4 -37.31832635748164 0.0004340277777778218
 5 -37.31733795824622 0.0004340277777778218
 6 -37.31417151965366 0.0004340277777778218
 7 -37.31375224139446 0.0004340277777778218
 8 -37.31248659368880 0.0004340277777778218
 9 -1.244370250839308 0.0004340277777778218
 10 3.964960169020204 0.0004340277777778218
 11 4.392729876234221 0.0004340277777778218
 12 14.12486850159117 0.000000000000000
 13 15.18783402644218 0.000000000000000
 14 16.01185468601412 0.000000000000000
 15 17.91747547348061 0.000000000000000
 16 18.20801800555928 0.000000000000000
 17 18.81959026688993 0.000000000000000
 18 19.55659576201667 0.000000000000000
 19 19.85351395691594 0.000000000000000
 20 19.98973934219392 0.000000000000000

 spin=1 k-point=4/4612 Cartesian=0.03894808998566748 0.02248669023764690 0.000000000000000 (4063 plane wave)
 1 -70.55446701993574 0.0004340277777778218
 2 -70.55189277695945 0.0004340277777778218
 3 -37.34309963763392 0.0004340277777778218
 4 -37.32007344764976 0.0004340277777778218
 5 -37.31790606138246 0.0004340277777778218
 6 -37.31556559574287 0.0004340277777778218
 7 -37.31452929435818 0.0004340277777778218
 8 -37.31281169020791 0.0004340277777778218
 9 -1.074715352343417 0.0004340277777778218
 10 4.120089374449959 0.0004340277777778218
 11 4.556692711527909 0.0004340277777778218
 12 12.84888643995124 0.000000000000000
 13 14.63969857394157 0.000000000000000
 14 15.42289868205076 0.000000000000000
 15 17.57491843782613 0.000000000000000
 16 17.95482855233246 0.000000000000000
 17 18.62081334028780 0.000000000000000
 18 19.18534824120641 0.000000000000000
 19 19.30589497093665 0.000000000000000
 20 19.81344525459641 0.000000000000000

 spin=1 k-point=5/4612 Cartesian=0.05193078664755799 0.02998225365019664 0.000000000000000 (4065 plane wave)
 1 -70.55421699390391 0.0004340277777778218
 2 -70.55178363071639 0.0004340277777778218
 3 -37.34202754071147 0.0004340277777778218
 4 -37.32235744135132 0.0004340277777778218
 5 -37.31863757673736 0.0004340277777778218
 6 -37.31791959994244 0.0004340277777778218
 7 -37.31503187015474 0.0004340277777778218
 8 -37.31324330535378 0.0004340277777778218
 9 -0.8377558387310424 0.0004340277777778218
 10 4.337385965580799 0.0004340277777778218
 11 4.783936475804304 0.0004340277777777589
 12 11.60666988739105 0.000000000000000
 13 14.14952187206578 0.000000000000000
 14 14.80948556679476 0.000000000000000
 15 16.33779149801125 0.000000000000000
 16 17.18061561260755 0.000000000000000
 17 18.78644431244420 0.000000000000000
 18 18.85275789559874 0.000000000000000
 19 19.18220358885704 0.000000000000000
 20 20.06146353091389 0.000000000000000

 spin=1 k-point=6/4612 Cartesian=0.06491348330944408 0.03747781706274383 0.000000000000000 (4083 plane wave)
 1 -70.55392067619883 0.0004340277777778218
 2 -70.55166228612627 0.0004340277777778218
 3 -37.34071966625523 0.0004340277777778218
 4 -37.32502799583799 0.0004340277777778218
 5 -37.32065052144814 0.0004340277777778218
 6 -37.31948045943732 0.0004340277777778218
 7 -37.31567704530313 0.0004340277777778218
 8 -37.31375545643751 0.0004340277777778218
 9 -0.5340419263857898 0.0004340277777778218
 10 4.616946988943228 0.0004340277777778217
 11 5.071239284937519 0.0004340277716259860
 12 10.41370318675958 0.000000000000000
 13 13.71745238815808 0.000000000000000
 14 14.17691261678894 0.000000000000000
 15 15.13839742359301 0.000000000000000
 16 16.34451832047943 0.000000000000000
 17 18.31564171514503 0.000000000000000
 18 18.61557844435549 0.000000000000000
 19 19.19753912392268 0.000000000000000
 20 19.91631771685598 0.000000000000000

 spin=1 k-point=7/4612 Cartesian=0.07789617997133459 0.04497338047529358 0.000000000000000 (4065 plane wave)
 1 -70.55359396135333 0.0004340277777778218
 2 -70.55153939291959 0.0004340277777778218
 3 -37.33922541143984 0.0004340277777778218
 4 -37.32790375458829 0.0004340277777778218
 5 -37.32356274151393 0.0004340277777778218
 6 -37.32037323619296 0.0004340277777778218
 7 -37.31645826915388 0.0004340277777778218
 8 -37.31431363200650 0.0004340277777778218
 9 -0.1642409669207354 0.0004340277777778218
 10 4.958897461742119 0.0004340277777090473
 11 5.411678886193879 0.0004290386265272740
 12 9.281433135719970 0.000000000000000
 13 13.34350053247315 0.000000000000000
 14 13.50927359185367 0.000000000000000
 15 13.98921481653571 0.000000000000000
 16 15.58851952473390 0.000000000000000
 17 17.90159819109633 0.000000000000000
 18 18.32681333464310 0.000000000000000
 19 19.15553370549951 0.000000000000000
 20 19.52231251942458 0.000000000000000

 spin=1 k-point=8/4612 Cartesian=0.09087887663322509 0.05246894388784332 0.000000000000000 (4075 plane wave)
 1 -70.55325623356241 0.0004340277777778218
 2 -70.55142851868449 0.0004340277777778218
 3 -37.33760802063247 0.0004340277777778218
 4 -37.33079683111966 0.0004340277777778218
 5 -37.32645690783264 0.0004340277777778218
 6 -37.32125866286382 0.0004340277777778218
 7 -37.31736335694884 0.0004340277777778218
 8 -37.31488100151705 0.0004340277777778218
 9 0.2708157782207512 0.0004340277777778218
 10 5.363305360185778 0.0004333000238351555
 11 5.784520398816092 1.244665767958698e-08
 12 8.231817827950017 0.000000000000000
 13 12.79145473577419 0.000000000000000
 14 12.89637430753684 0.000000000000000
 15 13.02746183115169 0.000000000000000
 16 14.96380455184502 0.000000000000000
 17 17.54813717957212 0.000000000000000
 18 18.06572171406460 0.000000000000000
 19 19.06377436607850 0.000000000000000
 20 19.18418314531953 0.000000000000000

 spin=1 k-point=9/4612 Cartesian=0.1038615732951112 0.05996450730039050 0.000000000000000 (4087 plane wave)
 1 -70.55292758008713 0.0004340277777778218
 2 -70.55133924038532 0.0004340277777778218
 3 -37.33594364961969 0.0004340277777778218
 4 -37.33350427738657 0.0004340277777778218
 5 -37.32913851643919 0.0004340277777778218
 6 -37.32207713721557 0.0004340277777778218
 7 -37.31836429819955 0.0004340277777778218
 8 -37.31541694024255 0.0004340277777778218
 9 0.7701657467446550 0.0004340277777778218
 10 5.830176237717919 2.004194398535651e-09
 11 6.081897912324147 8.493514016448642e-14
 12 7.372485706792562 0.000000000000000
 13 11.86331594627666 0.000000000000000
 14 12.02849451244030 0.000000000000000
 15 12.76918890816204 0.000000000000000
 16 14.48212351760037 0.000000000000000
 17 17.25729062246022 0.000000000000000
 18 17.84720328722810 0.000000000000000
 19 18.90712497962610 0.000000000000000
 20 18.94890073157276 0.000000000000000

 spin=1 k-point=10/4612 Cartesian=0.1168442699570017 0.06746007071294025 0.000000000000000 (4096 plane wave)
 1 -70.55262884263411 0.0004340277777778218
 2 -70.55127905107233 0.0004340277777778218
 3 -37.33583892772975 0.0004340277777778218
 4 -37.33432907039897 0.0004340277777778218
 5 -37.33143024843183 0.0004340277777778218
 6 -37.32277498656776 0.0004340277777778218
 7 -37.31940875290241 0.0004340277777778218
 8 -37.31588112563502 0.0004340277777778218
 9 1.332671279589196 0.0004340277777778218
 10 5.789672637168342 1.012864839760371e-08
 11 6.359294739065333 0.000000000000000
 12 7.215993731633804 0.000000000000000
 13 10.89230735760750 0.000000000000000
 14 11.24386731754464 0.000000000000000
 15 12.56852098391513 0.000000000000000
 16 14.13072745868571 0.000000000000000
 17 17.03022517546393 0.000000000000000
 18 17.67564584352749 0.000000000000000
 19 18.69175290069294 0.000000000000000
 20 18.83641013176647 0.000000000000000

 spin=1 k-point=11/4612 Cartesian=0.1298269666188922 0.07495563412548999 0.000000000000000 (4098 plane wave)
 1 -70.55238284651016 0.0004340277777778218
 2 -70.55124955756280 0.0004340277777778218
 3 -37.33763565652518 0.0004340277777778218
 4 -37.33318226517945 0.0004340277777778218
 5 -37.33290427962240 0.0004340277777778218
 6 -37.32330856120569 0.0004340277777778218
 7 -37.32039797687302 0.0004340277777778218
 8 -37.31624024535972 0.0004340277777778218
 9 1.956981730543051 0.0004340277777778218
 10 5.004217961142385 0.0004340277773563924
 11 6.949588235985686 0.000000000000000
 12 7.662631443386735 0.000000000000000
 13 9.985637740149839 0.000000000000000
 14 10.46447832172037 0.000000000000000
 15 12.42529293249057 0.000000000000000
 16 13.89198134957525 0.000000000000000
 17 16.86763740619243 0.000000000000000
 18 17.55255074154744 0.000000000000000
 19 18.53804335112464 0.000000000000000
 20 18.74473839607835 0.000000000000000

 spin=1 k-point=12/4612 Cartesian=0.1428096632807783 0.08245119753803717 0.000000000000000 (4086 plane wave)
 1 -70.55221573078390 0.0004340277777778218
 2 -70.55124298746482 0.0004340277777778218
 3 -37.33876733241901 0.0004340277777778218
