material	series_id	comparison_axis	volume_ratio	baseline_experiment_id	refined_experiment_id	baseline_relative_energy_mev_per_atom	refined_relative_energy_mev_per_atom	relative_energy_difference_mev_per_atom	pressure_difference_gpa
al	ofdft_next_cutoff	cutoff	0.9	S1-20260805-029	S1-20260805-071	60.12868355586676	60.12714482287862	-0.001538732988137781	-0.00017029999999884637
al	ofdft_next_cutoff	cutoff	0.94	S1-20260805-030	S1-20260805-072	22.131123224696125	22.130302077357555	-0.0008211473385699719	-0.00010109999999929897
al	ofdft_next_cutoff	cutoff	0.97	S1-20260805-031	S1-20260805-073	6.496714928928782	6.496350495261538	-0.0003644336672437021	-0.0001260999999996848
al	ofdft_next_cutoff	cutoff	1.0	S1-20260805-032	S1-20260805-074	0.0	0.0	0.0	-9.209999999992835e-05
al	ofdft_next_cutoff	cutoff	1.03	S1-20260805-033	S1-20260805-075	1.213276397081131	1.2135329655791338	0.0002565684980027072	-2.6500000000151402e-05
al	ofdft_next_cutoff	cutoff	1.06	S1-20260805-034	S1-20260805-076	8.916120978980757	8.916517134217372	0.000396155236614959	-2.3699999999848842e-05
al	ofdft_next_cutoff	cutoff	1.1	S1-20260805-035	S1-20260805-077	27.49481924799113	27.495219578696606	0.00040033070547451644	2.079999999970994e-05
al	ksdft_next_cutoff	cutoff	0.9	S1-20260805-036	S1-20260805-078	47.06376110000576	47.06423470000232	0.00047359999655327556	0.007118899999998263
al	ksdft_next_cutoff	cutoff	0.94	S1-20260805-037	S1-20260805-079	15.180250200003798	15.179858400003354	-0.00039180000044325425	0.006824299999999894
al	ksdft_next_cutoff	cutoff	0.97	S1-20260805-038	S1-20260805-080	3.337921800003585	3.337778800002411	-0.00014300000117373202	0.006634099999999865
al	ksdft_next_cutoff	cutoff	1.0	S1-20260805-039	S1-20260805-081	0.0	0.0	0.0	0.006419999999999981
al	ksdft_next_cutoff	cutoff	1.03	S1-20260805-040	S1-20260805-082	3.7917500000048676	3.7926583000000846	0.0009082999952170212	0.006025700000000356
al	ksdft_next_cutoff	cutoff	1.06	S1-20260805-041	S1-20260805-083	13.558772300001465	13.561473599999374	0.0027012999979092456	0.005822100000000496
al	ksdft_next_cutoff	cutoff	1.1	S1-20260805-042	S1-20260805-084	34.19030160000602	34.19709599999976	0.006794399993736988	0.005456099999999964
al	ksdft_next_kmesh	kmesh	0.9	S1-20260805-036	S1-20260805-085	47.06376110000576	46.81733330000526	-0.2464278000005038	0.0003530000000004918
al	ksdft_next_kmesh	kmesh	0.94	S1-20260805-037	S1-20260805-086	15.180250200003798	14.996913899999242	-0.18333630000455514	-0.013616900000000598
al	ksdft_next_kmesh	kmesh	0.97	S1-20260805-038	S1-20260805-087	3.337921800003585	3.2379648000002703	-0.09995700000331453	-0.020091800000000326
al	ksdft_next_kmesh	kmesh	1.0	S1-20260805-039	S1-20260805-088	0.0	0.0	0.0	-0.02483980000000001
al	ksdft_next_kmesh	kmesh	1.03	S1-20260805-040	S1-20260805-089	3.7917500000048676	3.903947200001312	0.1121971999964444	-0.02799800000000019
al	ksdft_next_kmesh	kmesh	1.06	S1-20260805-041	S1-20260805-090	13.558772300001465	13.788751200003446	0.2299789000019814	-0.029729299999999625
al	ksdft_next_kmesh	kmesh	1.1	S1-20260805-042	S1-20260805-091	34.19030160000602	34.58280530000479	0.39250369999876966	-0.030742799999999626
mg	ofdft_next_cutoff	cutoff	0.9	S1-20260805-050	S1-20260805-092	-15.600388593217218	-15.600390429895583	-1.8366783649526042e-06	-3.1100000000172656e-05
mg	ofdft_next_cutoff	cutoff	0.94	S1-20260805-051	S1-20260805-093	-15.45392370002574	-15.453930879271383	-7.179245642419119e-06	4.3100000000073635e-05
