candidate_id	status	gauge	radial_id	radial_count	low_g_eta_max	half_space_vector_count	basis_count	effective_rank	effective_condition_number	electron_number_relative_error	density_relative_l2	density_min	hartree_error_mev_per_atom	external_error_mev_per_atom	xc_error_mev_per_atom	combined_error_mev_per_atom	fixed_kedf_error_mev_per_atom	pair_equivalence	failed_gates
pw_fft_reference	accepted_reference	reference	None	0	None	0	13824	13824	1.0	9.50839407209969e-12	0.0	0.001725171078775626	0.0	0.0	0.0	0.0	0.0	True	
r04_eta100_explicit	rejected_convergence	explicit	r04	4	1.0	7	19	19	3079.04771392482	3.1752378504279477e-13	0.010687137422544962	0.004552832546049268	0.003973447769700655	-0.33838142038966623	-1.787591002166522	-2.1219989747864876	-17.24253209177462	True	density_l2,fixed_kedf
r04_eta100_complementary	rejected_convergence	complementary	r04	4	1.0	7	19	19	367.30984125866973	3.163395471498613e-13	0.01068713742254496	0.004552832546577255	0.003973447456853685	-0.33838141944553257	-1.7875910023370523	-2.1219989743257313	-17.242532089436935	True	density_l2,fixed_kedf
r04_eta130_explicit	rejected_convergence	explicit	r04	4	1.3	13	31	31	15076.225720531858	3.1737575530617807e-13	0.007223015834977387	0.0033510750722773	-0.05423232182916182	-1.5274283173125625	-0.8141520040858552	-2.3958126432275795	-16.898774856148435	True	fixed_kedf
r04_eta130_complementary	rejected_convergence	complementary	r04	4	1.3	13	31	31	509.3536859953909	3.16931666096328e-13	0.007223015834977387	0.003351075071008876	-0.054232321585745424	-1.5274283195969574	-0.8141520039650629	-2.3958126451477657	-16.898774839471997	True	fixed_kedf
r04_eta150_explicit	rejected_convergence	explicit	r04	4	1.5	25	55	55	42073.22709874069	3.1545136873016116e-13	0.006774787932599977	0.0036412341126740807	-0.023941813388897448	-1.743178833805814	-0.9326074746347501	-2.6997281218294615	-21.251265897994642	True	fixed_kedf
r04_eta150_complementary	rejected_convergence	complementary	r04	4	1.5	25	55	55	263.61095152571085	3.1663560662309465e-13	0.006774787932599977	0.003641234114223473	-0.02394181357288916	-1.7431788323376551	-0.9326074750148905	-2.699728120925435	-21.251265909441486	True	fixed_kedf
r04_eta160_explicit	accepted_convergence	explicit	r04	4	1.6	29	63	63	287782.20925573894	3.1811590398926154e-13	0.004360010548833929	0.0027273629337876597	-0.013577018975252653	-0.9875640029930466	-0.5360720653726503	-1.5372130873409495	-9.106210223166045	True	
r04_eta160_complementary	accepted_convergence	complementary	r04	4	1.6	29	63	63	436.633953563471	3.157474282033945e-13	0.004360010548833951	0.002727362920230565	-0.013577018294019805	-0.9875639997778407	-0.5360720612479497	-1.5372130793198102	-9.106209901901252	True	
r04_eta180_explicit	accepted_convergence	explicit	r04	4	1.8	32	69	69	1542217.4215288654	3.191521121455783e-13	0.004075088395919672	0.0024810918284465244	-0.01607359856199697	-0.591405653638688	-0.4164629456475666	-1.0239421978482515	-4.190589809336842	True	
r04_eta180_complementary	accepted_convergence	complementary	r04	4	1.8	32	69	69	1138.5279374725092	3.16931666096328e-13	0.004075088395919701	0.0024810918804942465	-0.016073599818852702	-0.5914057051956689	-0.416462965855402	-1.0239422708699237	-4.190591064254789	True	
r04_eta200_explicit	accepted_convergence	explicit	r04	4	2.0	56	117	117	3598748.1363071897	3.1796787425264483e-13	0.0025294682980490707	0.00236677631372309	-0.0026481405443201655	-1.2640718282721508	-0.3440784442680922	-1.6107984130845632	-7.861978570808503	True	
r04_eta200_complementary	accepted_convergence	complementary	r04	4	2.0	56	117	117	261.976597969713	3.1678363635971135e-13	0.0025294682980490637	0.0023667763118254206	-0.0026481404922645835	-1.2640718354770542	-0.34407844373873786	-1.6107984197080567	-7.861978504511313	True	
r06_eta100_explicit	rejected_convergence	explicit	r06	6	1.0	7	21	21	101280.17506972085	3.1648757688647794e-13	0.0057709925327212456	0.0009888340193514034	-0.04059707176679028	0.4421588578402691	-0.0372609973524618	0.364300788721017	15.037872964917653	True	fixed_kedf
r06_eta100_complementary	rejected_convergence	complementary	r06	6	1.0	7	21	21	6493.93375868378	3.16931666096328e-13	0.005770992532721247	0.0009888339917637112	-0.040597073089260194	0.4421589323344577	-0.03726098852396831	0.3643008707212292	15.03787334688056	True	fixed_kedf
r06_eta130_explicit	rejected_convergence	explicit	r06	6	1.3	13	33	33	138425.34541840237	3.185599931991116e-13	0.0052825624270465546	0.0009890110447614425	-0.053395887455384705	0.3154878800204486	0.016212331640730326	0.2783043242057942	14.430371505639528	True	fixed_kedf
r06_eta130_complementary	rejected_convergence	complementary	r06	6	1.3	13	33	33	3562.916042632648	3.1663560662309465e-13	0.005282562427046559	0.0009890110379539255	-0.053395887581103585	0.31548789883117934	0.01621233371906783	0.2783043449691436	14.43037161071814	True	fixed_kedf
r06_eta150_explicit	rejected_convergence	explicit	r06	6	1.5	25	57	57	143161.25248652257	3.1648757688647794e-13	0.0037445279813017322	0.0005768470327611741	-0.0078612057782812	0.9541473329948147	0.08611305004890824	1.0323991772654417	21.430466168609996	True	fixed_kedf
r06_eta150_complementary	rejected_convergence	complementary	r06	6	1.5	25	57	57	1570.7460517239442	3.160434876766279e-13	0.003744527981301735	0.000576847023569266	-0.007861206254747288	0.9541473575271908	0.08611305240791012	1.0323992036803538	21.430466452233787	True	fixed_kedf
r06_eta160_explicit	rejected_convergence	explicit	r06	6	1.6	29	65	65	555566.2701538996	3.184119634624949e-13	0.002519198991564699	0.0009808070226519222	-0.0034472743831864827	0.49798267568235133	0.04967967576163801	0.5442150770608029	11.53485600511317	True	fixed_kedf
r06_eta160_complementary	rejected_convergence	complementary	r06	6	1.6	29	65	65	1938.4579798406996	3.172277255695614e-13	0.0025191989915646874	0.0009808070385256796	-0.003447273753023894	0.49798262824385375	0.049679671121793945	0.5442150256126238	11.534855711406777	True	fixed_kedf
r06_eta180_explicit	rejected_convergence	explicit	r06	6	1.8	32	71	71	2935394.9552375344	3.1885605267234496e-13	0.002496859871013685	0.0010279240389247364	-0.0037803571573818973	0.4753045056666849	0.05006480967040261	0.5215889581797056	10.666377326177923	True	fixed_kedf
r06_eta180_complementary	rejected_convergence	complementary	r06	6	1.8	32	71	71	3600.4226279686295	3.158954579400112e-13	0.0024968598710136906	0.0010279240487196953	-0.003780357315935623	0.47530452315314164	0.05006481094582682	0.5215889767830328	10.666377256569604	True	fixed_kedf
r06_eta200_explicit	accepted_convergence	explicit	r06	6	2.0	56	119	119	30143352.29746863	3.16931666096328e-13	0.002026479134979476	0.001117065332932916	-0.0022442533890998373	0.2761030666338371	0.029442852095939998	0.30330166534067726	8.750454404164998	True	
r06_eta200_complementary	accepted_convergence	complementary	r06	6	2.0	56	119	119	4910.974541315968	3.16931666096328e-13	0.002026479134979467	0.0011170653226422785	-0.0022442533878508364	0.276103068126865	0.02944285219541598	0.30330166693443017	8.75045445603817	True	
r08_eta100_explicit	accepted_convergence	explicit	r08	8	1.0	7	23	23	7287326.660567963	3.1737575530617807e-13	0.005629965943475487	0.0022131194864080167	-0.04251094791853094	0.39709763639628193	-0.08431585508716921	0.2702708333905818	4.003406785578534	True	
r08_eta100_complementary	accepted_convergence	complementary	r08	8	1.0	7	23	23	204761.02444058028	3.1648757688647794e-13	0.005629965943475478	0.002213119967320146	-0.042510949637766804	0.39709847120938946	-0.08431582835299878	0.2702716932186239	4.003408004841447	True	
r08_eta130_explicit	accepted_convergence	explicit	r08	8	1.3	13	35	35	7337525.531190711	3.1663560662309465e-13	0.005077756852870406	0.002133003057797406	-0.057800418882314464	0.1278493565717298	-0.0339419526369511	0.036106985052464236	3.877256287712072	True	
r08_eta130_complementary	accepted_convergence	complementary	r08	8	1.3	13	35	35	123080.0219087209	3.1663560662309465e-13	0.005077756852869543	0.002133001940502675	-0.05780042389516571	0.12784750094940733	-0.033941999738829054	0.03610507731541257	3.8772564550768607	True	
r08_eta150_explicit	accepted_convergence	explicit	r08	8	1.5	25	59	59	8285927.668969145	3.160434876766279e-13	0.0021171997488555463	0.0022276251016149417	-0.003026748705697857	0.398049936556788	0.02662900082128772	0.42165218867237786	0.26023725012436216	True	
r08_eta150_complementary	accepted_convergence	complementary	r08	8	1.5	25	59	59	73688.86482415395	3.163395471498613e-13	0.0021171997488530596	0.0022276288340823177	-0.003026797036717599	0.3980560725196369	0.02662934252484206	0.4216586180077614	0.2602313382951138	True	
r08_eta160_explicit	accepted_convergence	explicit	r08	8	1.6	29	67	67	9452055.150804508	3.161915174132446e-13	0.0013882361134511102	0.002127309913543194	-0.0013039955405053094	0.2616731900397795	0.010165003729412092	0.2705341982286863	0.13028665899739167	True	
r08_eta160_complementary	accepted_convergence	complementary	r08	8	1.6	29	67	67	77102.76252090583	3.16931666096328e-13	0.0013882361134478446	0.0021273104317611705	-0.0013040016221405049	0.2616739915266564	0.0101650321191471	0.270535022023663	0.13028568795547812	True	
r08_eta180_explicit	accepted_convergence	explicit	r08	8	1.8	32	73	73	9526442.893824473	3.157474282033945e-13	0.0013770293008631366	0.002146763735107915	-0.0010768839851654777	0.2771585745566796	0.009194486160879478	0.2852761767323936	0.12081207898617663	True	
