pair_id	status	radial_count	low_g_eta_max	density_relative_difference	condition_number_ratio_explicit_over_complementary	hartree_difference_mev_per_atom	external_difference_mev_per_atom	xc_difference_mev_per_atom	combined_difference_mev_per_atom	fixed_kedf_difference_mev_per_atom
r04_eta100	accepted_equivalent_pair	4	1.0	2.142879522470433e-12	8.382698659458105	3.128469705515613e-10	9.441336601412331e-10	1.7053025658242404e-10	4.607563219849453e-10	2.3376856006507296e-09
r04_eta130	accepted_equivalent_pair	4	1.3	5.098024689754364e-12	29.598736860163378	2.4341639814906557e-10	2.284394895468722e-09	1.2079226507921703e-10	1.9201862322404395e-09	1.667643800828955e-08
r04_eta150	accepted_equivalent_pair	4	1.5	5.739685981036883e-12	159.60348709047145	1.8399171075600407e-10	1.468158927764307e-09	3.801403636316536e-10	9.040266313320444e-10	1.1446843473095214e-08
r04_eta160	accepted_equivalent_pair	4	1.6	5.195923236960933e-11	659.0926035574686	6.812328479099961e-10	3.2152058793144533e-09	4.1247005810873816e-09	8.021139308311831e-09	3.212647925465717e-07
r04_eta180	accepted_equivalent_pair	4	1.8	2.4592802414871843e-10	1354.571434542513	1.256855730602524e-09	5.155698090675287e-08	2.020783540501725e-08	7.302167226441725e-08	1.2549179473353433e-06
r04_eta200	accepted_equivalent_pair	4	2.0	2.5497193374377157e-11	13736.906900070668	5.205558206711203e-11	7.204903340607416e-09	5.293543381412746e-10	6.623493531421332e-09	6.629718996009615e-08
r06_eta100	accepted_equivalent_pair	6	1.0	9.333048186791675e-11	15.596120754124966	1.3224699113578708e-09	7.44941885955086e-08	8.828493491819245e-09	8.200021217596998e-08	3.8196290574887826e-07
r06_eta130	accepted_equivalent_pair	6	1.3	3.794087743735791e-11	38.851700057495464	1.2571887975099116e-10	1.8810730750828952e-08	2.078337502098293e-09	2.0763349373176254e-08	1.0507861247788242e-07
r06_eta150	accepted_equivalent_pair	6	1.5	2.7583739964626785e-11	91.14220107661484	4.764660888056937e-10	2.453237613053716e-08	2.3590018827235326e-09	2.64149120354773e-08	2.836237911196804e-07
r06_eta160	accepted_equivalent_pair	6	1.6	7.142388869065041e-11	286.6021734448716	6.301625887772389e-10	4.743849757460339e-08	4.639844064513454e-09	5.1448179050339604e-08	2.937063925401162e-07
r06_eta180	accepted_equivalent_pair	6	1.8	1.34691127748418e-10	815.2917750363363	1.5855372570428017e-10	1.7486456727056066e-08	1.2754242106893798e-09	1.8603327212041165e-08	6.960831910873821e-08
r06_eta200	accepted_equivalent_pair	6	2.0	1.5062710467256624e-10	6137.957353244856	1.2490009027033011e-12	1.4930279235159105e-09	9.947598300641403e-11	1.5937529074250278e-09	5.1873172424166114e-08
r08_eta100	accepted_equivalent_pair	8	1.0	1.3170056589060575e-09	35.58942274525822	1.7192358647832862e-09	8.348131075308629e-07	2.673417043297377e-08	8.598280420990534e-07	1.2192629128549015e-06
r08_eta130	accepted_equivalent_pair	8	1.3	3.3528467132863473e-09	59.615893931448895	5.012851245211891e-09	1.8556223224663881e-06	4.710187795353704e-08	1.907737051665137e-06	1.673647886946128e-07
r08_eta150	accepted_equivalent_pair	8	1.5	1.2070158051894015e-08	112.44477288043606	4.833101974188736e-08	6.135962848929921e-06	3.41703554340711e-07	6.429335383528745e-06	5.911829248361755e-06
r08_eta160	accepted_equivalent_pair	8	1.6	2.0135641981407506e-09	122.59035658082492	6.081635195442914e-09	8.014868768668748e-07	2.8389735007294803e-08	8.237949766787267e-07	9.710419135444681e-07
r08_eta180	accepted_equivalent_pair	8	1.8	1.280345971119719e-08	116.57352623285847	3.764395739569437e-08	5.1586050986429655e-06	1.887414668999554e-07	5.3097026081472265e-06	3.9959502373676514e-06
r08_eta200	accepted_equivalent_pair	8	2.0	3.225536463792453e-09	1146.801050561382	5.659195334573042e-09	1.023759743645769e-06	4.174438572590589e-09	1.0222749868837866e-06	2.1972113017909578e-07
r10_eta100	accepted_equivalent_pair	10	1.0	2.0269255441797045e-09	20.21651369653917	9.19611609084825e-10	1.0113403448031022e-06	5.870504082849948e-08	9.535549155836875e-07	9.582301174759777e-06
r10_eta130	accepted_equivalent_pair	10	1.3	3.4659266378615406e-09	36.549048042275935	6.097608529209708e-09	1.7750227954138609e-06	8.755662861403835e-08	1.6935637753290322e-06	1.0583018905663266e-05
r10_eta150	accepted_equivalent_pair	10	1.5	3.4007824439352274e-09	61.74727938560928	1.1944750744063981e-08	1.7519035111490666e-06	5.466205266202451e-08	1.6852967077429781e-06	1.3284473965313737e-05
r10_eta160	accepted_equivalent_pair	10	1.6	6.150309672579026e-09	62.12843742747745	1.3043982560745349e-08	2.485797345741503e-06	9.894662866827275e-08	2.3738067345124847e-06	1.3461914250001428e-05
r10_eta180	accepted_equivalent_pair	10	1.8	8.094931524938009e-10	59.25672841142336	1.0292183771909436e-09	7.406697477563284e-08	2.1529444893531036e-09	7.5190700887795e-08	2.1731594301854784e-07
r10_eta200	accepted_equivalent_pair	10	2.0	2.74146639581758e-09	205.45997952848796	2.226871465005331e-09	4.219833371621462e-07	3.7196912217041245e-09	4.1603677447543674e-07	7.064251406063704e-07
