candidate	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	local_bottom_eigenvalues
joint_svd_drop1	128	-0.05	9.612345911537743	[9.612345911537743]	[2.391581781500785e-06]
joint_svd_drop1	128	-0.025	86.13775802038842	[86.13775802038842]	[-0.00014956526830996818]
joint_svd_drop1	128	0.0	45.61262296203584	[45.61262296203584]	[1.614434604294101e-09]
joint_svd_drop1	128	0.025	87.36843098360917	[87.36843098360917]	[-0.0001525475601016109]
joint_svd_drop1	128	0.05	11.481383101853183	[11.481383101853183]	[2.40135536303373e-06]
joint_svd_drop1	144	-0.05	5.65968363486356	[5.65968363486356]	[2.370838336707793e-06]
joint_svd_drop1	144	-0.025	85.30044559070139	[85.30044559070139]	[-5.196333170977429e-05]
joint_svd_drop1	144	0.0	45.61813163086379	[45.61813163086379]	[3.968808829961163e-10]
joint_svd_drop1	144	0.025	85.22896589447733	[85.22896589447733]	[-5.049537106190142e-05]
joint_svd_drop1	144	0.05	9.43668378161464	[9.43668378161464]	[2.395023762561214e-06]
joint_svd_drop2	128	-0.05	7.433929876082138	[7.433929876082138,0.6048881832447298]	[2.391581781500785e-06,2.7865577781716094e-06]
joint_svd_drop2	128	-0.025	88.20273726588354	[88.20273726588354,60.086928446284126]	[-0.00014956526830996818,-1.0689248028070395e-05]
joint_svd_drop2	128	0.0	73.07800349207388	[73.07800349207388,21.539310631220758]	[1.614434604294101e-09,2.791946513296072e-06]
joint_svd_drop2	128	0.025	88.75459188378288	[88.75459188378288,60.336933263619734]	[-0.0001525475601016109,-1.7689541970798233e-05]
joint_svd_drop2	128	0.05	9.048492362238662	[9.048492362238662,0.3639371635428858]	[2.40135536303373e-06,2.7782196995552287e-06]
joint_svd_drop2	144	-0.05	4.909684787995465	[4.909684787995465,1.1126113882363502]	[2.370838336707793e-06,2.748332370795815e-06]
joint_svd_drop2	144	-0.025	86.99686717245908	[86.99686717245908,32.80163988748857]	[-5.196333170977429e-05,-1.637052428838485e-07]
joint_svd_drop2	144	0.0	52.041381065716145	[52.041381065716145,42.09831144886645]	[3.968808829961163e-10,2.7906181447720966e-06]
joint_svd_drop2	144	0.025	87.92359154876729	[87.92359154876729,45.60852906566466]	[-5.049537106190142e-05,-3.5202925669786537e-06]
joint_svd_drop2	144	0.05	10.759844126320361	[10.759844126320361,3.9563974808973]	[2.395023762561214e-06,2.624966321513891e-06]
