candidate	grid	displacement_angstrom	relative_cutoff	reduced_dimension	reduced_rank	full_reduced_rank	effective_condition_number	minimum_eigenvalue_over_cutoff	bottom_eigenvalues
joint_svd_drop1	128	-0.05	1e-08	863	863	True	5294119.130208935	18.88888359715726	[2.7816158857933002e-06,2.7919465164251174e-06,9.1316845422242e-06,4.748228076807531e-05]
joint_svd_drop1	128	-0.05	1e-09	863	863	True	5294119.130208935	188.8888359715726	[2.7816158857933002e-06,2.7919465164251174e-06,9.1316845422242e-06,4.748228076807531e-05]
joint_svd_drop1	128	-0.05	1e-10	863	863	True	5294119.130208935	1888.888359715726	[2.7816158857933002e-06,2.7919465164251174e-06,9.1316845422242e-06,4.748228076807531e-05]
joint_svd_drop1	128	-0.025	1e-08	863	861	False	inf	-1011.1387948417032	[-0.00014888261025778766,-7.859505708177864e-06,2.7919465125144112e-06,3.1319529996640426e-06]
joint_svd_drop1	128	-0.025	1e-09	863	861	False	inf	-10111.38794841703	[-0.00014888261025778766,-7.859505708177864e-06,2.7919465125144112e-06,3.1319529996640426e-06]
joint_svd_drop1	128	-0.025	1e-10	863	861	False	inf	-101113.87948417032	[-0.00014888261025778766,-7.859505708177864e-06,2.7919465125144112e-06,3.1319529996640426e-06]
joint_svd_drop1	128	0.0	1e-08	863	863	True	9755542.266665436	10.25058343929263	[1.509047904979756e-06,2.7919465127880295e-06,2.7919465136658966e-06,5.5402551802830155e-06]
joint_svd_drop1	128	0.0	1e-09	863	863	True	9755542.266665436	102.50583439292629	[1.509047904979756e-06,2.7919465127880295e-06,2.7919465136658966e-06,5.5402551802830155e-06]
joint_svd_drop1	128	0.0	1e-10	863	863	True	9755542.266665436	1025.058343929263	[1.509047904979756e-06,2.7919465127880295e-06,2.7919465136658966e-06,5.5402551802830155e-06]
joint_svd_drop1	128	0.025	1e-08	863	861	False	inf	-1033.8472511875484	[-0.00015222626034790167,-1.3660545401996926e-05,2.7919465144758054e-06,3.291817383846597e-06]
joint_svd_drop1	128	0.025	1e-09	863	861	False	inf	-10338.472511875483	[-0.00015222626034790167,-1.3660545401996926e-05,2.7919465144758054e-06,3.291817383846597e-06]
joint_svd_drop1	128	0.025	1e-10	863	861	False	inf	-103384.72511875484	[-0.00015222626034790167,-1.3660545401996926e-05,2.7919465144758054e-06,3.291817383846597e-06]
joint_svd_drop1	128	0.05	1e-08	863	863	True	5314065.70202346	18.817983368538815	[2.7711749727652465e-06,2.7919465152134415e-06,9.67111950652569e-06,3.606297594718658e-05]
joint_svd_drop1	128	0.05	1e-09	863	863	True	5314065.70202346	188.17983368538813	[2.7711749727652465e-06,2.7919465152134415e-06,9.67111950652569e-06,3.606297594718658e-05]
joint_svd_drop1	128	0.05	1e-10	863	863	True	5314065.70202346	1881.7983368538812	[2.7711749727652465e-06,2.7919465152134415e-06,9.67111950652569e-06,3.606297594718658e-05]
joint_svd_drop1	144	-0.05	1e-08	863	863	True	5360213.949654435	18.655971746509643	[2.7473093855358254e-06,2.7906181427235453e-06,6.626175961215435e-06,4.8645523497766796e-05]
joint_svd_drop1	144	-0.05	1e-09	863	863	True	5360213.949654435	186.5597174650964	[2.7473093855358254e-06,2.7906181427235453e-06,6.626175961215435e-06,4.8645523497766796e-05]
joint_svd_drop1	144	-0.05	1e-10	863	863	True	5360213.949654435	1865.5971746509642	[2.7473093855358254e-06,2.7906181427235453e-06,6.626175961215435e-06,4.8645523497766796e-05]
joint_svd_drop1	144	-0.025	1e-08	863	862	False	inf	-350.47579823066644	[-5.160479700238326e-05,1.7926084490177414e-06,2.790618144885184e-06,4.299522350593121e-06]
joint_svd_drop1	144	-0.025	1e-09	863	862	False	inf	-3504.757982306664	[-5.160479700238326e-05,1.7926084490177414e-06,2.790618144885184e-06,4.299522350593121e-06]
joint_svd_drop1	144	-0.025	1e-10	863	862	False	inf	-35047.57982306664	[-5.160479700238326e-05,1.7926084490177414e-06,2.790618144885184e-06,4.299522350593121e-06]
joint_svd_drop1	144	0.0	1e-08	863	863	True	9765002.588359024	10.240652687507854	[1.5075859677894108e-06,2.7906181451608046e-06,2.79061814667393e-06,5.538579134956374e-06]
joint_svd_drop1	144	0.0	1e-09	863	863	True	9765002.588359024	102.40652687507855	[1.5075859677894108e-06,2.7906181451608046e-06,2.79061814667393e-06,5.538579134956374e-06]
joint_svd_drop1	144	0.0	1e-10	863	863	True	9765002.588359024	1024.0652687507854	[1.5075859677894108e-06,2.7906181451608046e-06,2.79061814667393e-06,5.538579134956374e-06]
joint_svd_drop1	144	0.025	1e-08	863	861	False	inf	-340.5299265064007	[-5.0140345849367656e-05,-9.54746066674573e-07,2.790618147372109e-06,3.7531557788185767e-06]
joint_svd_drop1	144	0.025	1e-09	863	861	False	inf	-3405.299265064007	[-5.0140345849367656e-05,-9.54746066674573e-07,2.790618147372109e-06,3.7531557788185767e-06]
joint_svd_drop1	144	0.025	1e-10	863	861	False	inf	-34052.99265064007	[-5.0140345849367656e-05,-9.54746066674573e-07,2.790618147372109e-06,3.7531557788185767e-06]
joint_svd_drop1	144	0.05	1e-08	863	863	True	5610176.189860153	17.824752131802963	[2.6249026059830568e-06,2.7906181456043183e-06,6.846535262309458e-06,1.5611746150397965e-05]
joint_svd_drop1	144	0.05	1e-09	863	863	True	5610176.189860153	178.24752131802964	[2.6249026059830568e-06,2.7906181456043183e-06,6.846535262309458e-06,1.5611746150397965e-05]
joint_svd_drop1	144	0.05	1e-10	863	863	True	5610176.189860153	1782.4752131802966	[2.6249026059830568e-06,2.7906181456043183e-06,6.846535262309458e-06,1.5611746150397965e-05]
joint_svd_drop2	128	-0.05	1e-08	862	862	True	5274530.081875071	18.95903491832024	[2.791946513764575e-06,9.124236073368866e-06,4.7481796730637094e-05,5.982748674002061e-05]
joint_svd_drop2	128	-0.05	1e-09	862	862	True	5274530.081875071	189.5903491832024	[2.791946513764575e-06,9.124236073368866e-06,4.7481796730637094e-05,5.982748674002061e-05]
joint_svd_drop2	128	-0.05	1e-10	862	862	True	5274530.081875071	1895.9034918320242	[2.791946513764575e-06,9.124236073368866e-06,4.7481796730637094e-05,5.982748674002061e-05]
joint_svd_drop2	128	-0.025	1e-08	862	860	False	inf	-1011.1224311870373	[-0.000148880200832233,-7.139499067197501e-06,2.7919465137824128e-06,5.520555573921065e-05]
joint_svd_drop2	128	-0.025	1e-09	862	860	False	inf	-10111.224311870374	[-0.000148880200832233,-7.139499067197501e-06,2.7919465137824128e-06,5.520555573921065e-05]
joint_svd_drop2	128	-0.025	1e-10	862	860	False	inf	-101112.24311870373	[-0.000148880200832233,-7.139499067197501e-06,2.7919465137824128e-06,5.520555573921065e-05]
joint_svd_drop2	128	0.0	1e-08	862	862	True	9584801.204282284	10.433184566762026	[1.535929677172194e-06,2.791946513760443e-06,5.5129492061685275e-06,5.9849770540994125e-05]
joint_svd_drop2	128	0.0	1e-09	862	862	True	9584801.204282284	104.33184566762024	[1.535929677172194e-06,2.791946513760443e-06,5.5129492061685275e-06,5.9849770540994125e-05]
joint_svd_drop2	128	0.0	1e-10	862	862	True	9584801.204282284	1043.3184566762025	[1.535929677172194e-06,2.791946513760443e-06,5.5129492061685275e-06,5.9849770540994125e-05]
joint_svd_drop2	128	0.025	1e-08	862	860	False	inf	-1033.847034288587	[-0.00015222622841097648,-1.2297392180279138e-05,2.7919465137806247e-06,5.142456342765777e-05]
joint_svd_drop2	128	0.025	1e-09	862	860	False	inf	-10338.47034288587	[-0.00015222622841097648,-1.2297392180279138e-05,2.7919465137806247e-06,5.142456342765777e-05]
joint_svd_drop2	128	0.025	1e-10	862	860	False	inf	-103384.7034288587	[-0.00015222622841097648,-1.2297392180279138e-05,2.7919465137806247e-06,5.142456342765777e-05]
joint_svd_drop2	128	0.05	1e-08	862	862	True	5274530.083015999	18.959034914219234	[2.791946513768975e-06,9.650398114407012e-06,3.605344659243411e-05,5.979760179591095e-05]
joint_svd_drop2	128	0.05	1e-09	862	862	True	5274530.083015999	189.59034914219234	[2.791946513768975e-06,9.650398114407012e-06,3.605344659243411e-05,5.979760179591095e-05]
joint_svd_drop2	128	0.05	1e-10	862	862	True	5274530.083015999	1895.9034914219235	[2.791946513768975e-06,9.650398114407012e-06,3.605344659243411e-05,5.979760179591095e-05]
joint_svd_drop2	144	-0.05	1e-08	862	862	True	5277026.569084292	18.95006566498162	[2.7906181444307063e-06,6.6252413010658105e-06,4.8634698116139694e-05,5.9466656968758064e-05]
joint_svd_drop2	144	-0.05	1e-09	862	862	True	5277026.569084292	189.50065664981616	[2.7906181444307063e-06,6.6252413010658105e-06,4.8634698116139694e-05,5.9466656968758064e-05]
joint_svd_drop2	144	-0.05	1e-10	862	862	True	5277026.569084292	1895.0065664981619	[2.7906181444307063e-06,6.6252413010658105e-06,4.8634698116139694e-05,5.9466656968758064e-05]
joint_svd_drop2	144	-0.025	1e-08	862	861	False	inf	-350.2840539494967	[-5.1576564169297334e-05,2.7906181444399178e-06,3.41683699038129e-06,5.8359852975116525e-05]
joint_svd_drop2	144	-0.025	1e-09	862	861	False	inf	-3502.8405394949664	[-5.1576564169297334e-05,2.7906181444399178e-06,3.41683699038129e-06,5.8359852975116525e-05]
joint_svd_drop2	144	-0.025	1e-10	862	861	False	inf	-35028.40539494967	[-5.1576564169297334e-05,2.7906181444399178e-06,3.41683699038129e-06,5.8359852975116525e-05]
joint_svd_drop2	144	0.0	1e-08	862	862	True	9593957.99435471	10.42322679115774	[1.5344637621198473e-06,2.79061814442734e-06,5.511261936541267e-06,5.98497935383354e-05]
joint_svd_drop2	144	0.0	1e-09	862	862	True	9593957.99435471	104.2322679115774	[1.5344637621198473e-06,2.79061814442734e-06,5.511261936541267e-06,5.98497935383354e-05]
joint_svd_drop2	144	0.0	1e-10	862	862	True	9593957.99435471	1042.322679115774	[1.5344637621198473e-06,2.79061814442734e-06,5.511261936541267e-06,5.98497935383354e-05]
joint_svd_drop2	144	0.025	1e-08	862	861	False	inf	-340.52736114864496	[-5.0139968120619765e-05,4.183827949477444e-07,2.7906181444382817e-06,5.6457603009426794e-05]
joint_svd_drop2	144	0.025	1e-09	862	861	False	inf	-3405.273611486449	[-5.0139968120619765e-05,4.183827949477444e-07,2.7906181444382817e-06,5.6457603009426794e-05]
joint_svd_drop2	144	0.025	1e-10	862	861	False	inf	-34052.73611486449	[-5.0139968120619765e-05,4.183827949477444e-07,2.7906181444382817e-06,5.6457603009426794e-05]
joint_svd_drop2	144	0.05	1e-08	862	862	True	5277026.572093559	18.950065654175187	[2.7906181444366224e-06,6.8441618946215906e-06,1.5451853603803034e-05,5.9458176137396144e-05]
joint_svd_drop2	144	0.05	1e-09	862	862	True	5277026.572093559	189.50065654175188	[2.7906181444366224e-06,6.8441618946215906e-06,1.5451853603803034e-05,5.9458176137396144e-05]
joint_svd_drop2	144	0.05	1e-10	862	862	True	5277026.572093559	1895.0065654175187	[2.7906181444366224e-06,6.8441618946215906e-06,1.5451853603803034e-05,5.9458176137396144e-05]
