displacement_angstrom	relative_cutoff	atomic_rank	total_effective_rank	effective_condition_number	minimum_retained_eigenvalue_over_cutoff
-0.05	1e-08	863	2172	37980015.04851519	2.6329636750343903
-0.05	1e-09	863	2172	37980015.04851519	26.329636750343898
-0.05	1e-10	863	2172	37980015.04851519	263.296367503439
-0.025	1e-08	862	2171	5812948.399947242	17.20297396772137
-0.025	1e-09	862	2171	5812948.399947242	172.0297396772137
-0.025	1e-10	862	2171	5812948.399947242	1720.297396772137
0.0	1e-08	863	2172	5276146.126287034	18.95322790659187
0.0	1e-09	863	2172	5276146.126287034	189.5322790659187
0.0	1e-10	863	2172	5276146.126287034	1895.322790659187
0.025	1e-08	862	2171	6129136.473891063	16.315512050674787
0.025	1e-09	862	2171	6129136.473891063	163.15512050674786
0.025	1e-10	862	2171	6129136.473891063	1631.5512050674786
0.05	1e-08	863	2172	8578289.67807044	11.657335407504391
0.05	1e-09	863	2172	8578289.67807044	116.57335407504391
0.05	1e-10	863	2172	8578289.67807044	1165.7335407504393
