grid	displacement_angstrom	relative_cutoff	atomic_rank	total_effective_rank	rank_deficiency	effective_condition_number	minimum_retained_eigenvalue_over_cutoff	bottom_eigenvalues
128	-0.05	1e-08	864	2173	0	6157517.167724195	16.240312008250523	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
128	-0.05	1e-09	864	2173	0	6157517.167724195	162.40312008250524	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
128	-0.05	1e-10	864	2173	0	6157517.167724195	1624.0312008250523	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
128	-0.025	1e-08	862	2171	2	5662233.24557158	17.660876135438215	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
128	-0.025	1e-09	862	2171	2	5662233.24557158	176.60876135438215	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
128	-0.025	1e-10	862	2171	2	5662233.24557158	1766.0876135438216	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
128	0.0	1e-08	863	2172	1	5272873.4424632015	18.964991496796745	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
128	0.0	1e-09	863	2172	1	5272873.4424632015	189.64991496796745	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
128	0.0	1e-10	864	2173	0	9118722278.18303	1.096644869196803	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
128	0.025	1e-08	862	2171	2	5776362.800489261	17.311931998372735	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
128	0.025	1e-09	862	2171	2	5776362.800489261	173.1193199837274	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
128	0.025	1e-10	862	2171	2	5776362.800489261	1731.1931998372738	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
128	0.05	1e-08	864	2173	0	6132455.90588124	16.306680640638035	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
128	0.05	1e-09	864	2173	0	6132455.90588124	163.06680640638035	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
128	0.05	1e-10	864	2173	0	6132455.90588124	1630.6680640638035	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
144	-0.05	1e-08	864	2173	0	6211375.048453721	16.099494752759185	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
144	-0.05	1e-09	864	2173	0	6211375.048453721	160.99494752759182	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
144	-0.05	1e-10	864	2173	0	6211375.048453721	1609.9494752759183	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
144	-0.025	1e-08	862	2171	2	5503888.827170575	18.168971638078624	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
144	-0.025	1e-09	862	2171	2	5503888.827170575	181.68971638078622	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
144	-0.025	1e-10	862	2171	2	5503888.827170575	1816.8971638078622	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
144	0.0	1e-08	863	2172	1	5275383.485588947	18.955967897533036	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
144	0.0	1e-09	863	2172	1	5275383.485588947	189.5596789753303	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
144	0.0	1e-10	863	2172	1	5275383.485588947	1895.5967897533033	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
144	0.025	1e-08	862	2171	2	5699632.907808877	17.544989583977127	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
144	0.025	1e-09	862	2171	2	5699632.907808877	175.44989583977124	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
144	0.025	1e-10	862	2171	2	5699632.907808877	1754.4989583977126	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
144	0.05	1e-08	864	2173	0	6148651.352560636	16.26372911164568	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
144	0.05	1e-09	864	2173	0	6148651.352560636	162.6372911164568	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
144	0.05	1e-10	864	2173	0	6148651.352560636	1626.372911164568	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
