grid	kind	left_displacement_angstrom	right_displacement_angstrom	maximum_angle_degrees	principal_angles_degrees
128	adjacent_geometry	-0.05	-0.025	88.79875802782684	[88.79875802782684,66.48271027610105]
128	adjacent_geometry	-0.025	0.0	77.6272762570559	[77.6272762570559,68.25750292316269]
128	adjacent_geometry	0.0	0.025	74.70313489685533	[74.70313489685533,66.28568252041676]
128	adjacent_geometry	0.025	0.05	89.08008701252491	[89.08008701252491,68.52410635587299]
144	adjacent_geometry	-0.05	-0.025	87.9773803897384	[87.9773803897384,37.116755371737064]
144	adjacent_geometry	-0.025	0.0	78.16132122596959	[78.16132122596959,53.933144281974165]
144	adjacent_geometry	0.0	0.025	71.64817907112905	[71.64817907112905,58.05252695785472]
144	adjacent_geometry	0.025	0.05	88.17504462106568	[88.17504462106568,54.7884415937855]
128_to_144	cross_grid	-0.05	-0.05	2.9807450129860222	[2.9807450129860222,0.44686041776050367]
128_to_144	cross_grid	-0.025	-0.025	28.215206755238572	[28.215206755238572,12.439295578930746]
128_to_144	cross_grid	0.0	0.0	69.77814038703532	[69.77814038703532,0.01089983337586966]
128_to_144	cross_grid	0.025	0.025	17.457859059360803	[17.457859059360803,10.223112978912603]
128_to_144	cross_grid	0.05	0.05	5.98696798391257	[5.98696798391257,0.6398719656063325]
