dimension	maximum_angle_degrees	all_local_spaces_covered
2	88.49350652016311	False
3	70.20125213434869	False
4	64.78720422036331	False
5	62.19723772769049	False
6	21.46430716812062	False
7	17.129823067324175	False
8	4.006958003332495	True
9	2.448010095034154	True
10	1.5044851339271648	True
11	0.5065624327344135	True
12	0.24928429781798284	True
13	0.1915601609974052	True
14	0.09661544438015	True
15	0.053122023869007225	True
16	0.01376758165178993	True
17	0.01030034950644823	True
18	0.004334446520801268	True
19	4.9658516814855666e-05	True
20	3.52019892386405e-06	True
