dimension	local_index	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	bottom_eigenvalues
2	0	128	-0.05	22.338192426210828	[22.338192426210828,10.599372049055598]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
2	1	128	-0.025	83.5172827430437	[83.5172827430437,47.61629731172648]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
2	2	128	0.0	88.49350652016311	[88.49350652016311,34.46614244378682]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
2	3	128	0.025	83.7573020556629	[83.7573020556629,47.10242977329731]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
2	4	128	0.05	24.078595907810612	[24.078595907810612,10.187329338931333]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
2	5	144	-0.05	19.621667731445058	[19.621667731445058,11.012432992946334]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
2	6	144	-0.025	82.08890465815176	[82.08890465815176,21.176319020009437]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
2	7	144	0.0	87.93332550274295	[87.93332550274295,30.37927653725591]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
2	8	144	0.025	82.23702621630187	[82.23702621630187,32.052077747625056]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
2	9	144	0.05	25.328796275035	[25.328796275035,7.2959183015445985]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
3	0	128	-0.05	18.785206474453343	[18.785206474453343,9.21973358008356]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
3	1	128	-0.025	64.34896583764426	[64.34896583764426,33.48761147410229]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
3	2	128	0.0	70.20125213434869	[70.20125213434869,29.750336869778902]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
3	3	128	0.025	61.114856908492804	[61.114856908492804,18.36697325896644]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
3	4	128	0.05	20.034163915155407	[20.034163915155407,8.724649955689367]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
3	5	144	-0.05	16.625000715914986	[16.625000715914986,9.450652433680839]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
3	6	144	-0.025	57.56080961069474	[57.56080961069474,14.943883149728858]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
3	7	144	0.0	62.82313581845455	[62.82313581845455,27.814087165816257]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
3	8	144	0.025	57.48036857062763	[57.48036857062763,13.40301609719478]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
3	9	144	0.05	21.062382671313454	[21.062382671313454,4.258872644583656]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
4	0	128	-0.05	17.157181914342782	[17.157181914342782,2.292309231383092]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
4	1	128	-0.025	44.50995111599663	[44.50995111599663,17.065983576242573]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
4	2	128	0.0	64.78720422036331	[64.78720422036331,17.522382656429087]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
4	3	128	0.025	49.9313497528818	[49.9313497528818,18.054758893051936]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
4	4	128	0.05	18.187978215204513	[18.187978215204513,2.270288289926356]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
4	5	144	-0.05	15.016473098363798	[15.016473098363798,2.3748325341406242]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
4	6	144	-0.025	19.9886609460057	[19.9886609460057,8.292647882501461]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
4	7	144	0.0	53.91551466728401	[53.91551466728401,17.490851597248547]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
