atom_count	cell_role	geometry_id	status	coset_position_count	half_space_low_g_count	real_low_g_count	atomic_function_count	total_basis_count	basis_functions_per_atom	quadrature_point_count	effective_coefficient_fraction	low_g_vectors_unchanged	electron_number_relative_error	density_relative_l2	equivalent_supercell_energy_difference_mev_per_atom	failed_gates
32	two_by_two_by_two_conventional_fcc	equilibrium	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	3.1648757688647794e-13	0.005629965943475478	0.0	
32	two_by_two_by_two_conventional_fcc	isotropic_m005	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	1.2523315717771766e-13	0.005630286740683581	0.0	
32	two_by_two_by_two_conventional_fcc	isotropic_p005	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	1.7275070263167436e-13	0.005629390405101549	0.0	
32	two_by_two_by_two_conventional_fcc	tetragonal_m005	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	3.1752378504279477e-13	0.005737112470007269	0.0	
32	two_by_two_by_two_conventional_fcc	tetragonal_p005	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	3.176718147794115e-13	0.005738175684468644	0.0	
32	two_by_two_by_two_conventional_fcc	shear_xy_m005	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	3.1648757688647794e-13	0.00567224626667614	0.0	
32	two_by_two_by_two_conventional_fcc	shear_xy_p005	accepted_scale_tiling	32	194	388	256	645	20.15625	442368	0.0014580620659722222	True	3.1811590398926154e-13	0.005672244492895852	0.0	
108	three_by_three_by_three_conventional_fcc	equilibrium	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	3.1649854205215326e-13	0.005629965943475478	6.938893903907228e-18	
108	three_by_three_by_three_conventional_fcc	isotropic_m005	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	1.252660526747436e-13	0.005630286740683581	0.0	
108	three_by_three_by_three_conventional_fcc	isotropic_p005	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	1.7281101104288856e-13	0.005629390405101549	6.938893903907228e-18	
108	three_by_three_by_three_conventional_fcc	tetragonal_m005	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	3.1755119795698307e-13	0.005737112470007269	0.0	
108	three_by_three_by_three_conventional_fcc	tetragonal_p005	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	3.17726640607788e-13	0.005738175684468644	0.0	
108	three_by_three_by_three_conventional_fcc	shear_xy_m005	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	3.1649854205215326e-13	0.00567224626667614	6.938893903907228e-18	
108	three_by_three_by_three_conventional_fcc	shear_xy_p005	accepted_scale_tiling	108	654	1308	864	2173	20.12037037037037	1492992	0.0014554666066529493	True	3.180775259093979e-13	0.005672244492895852	6.938893903907228e-18	
