experiment_id	energy_difference_mev_per_atom	old_limit	new_limit	energy_gate_accepted	all_unchanged_gates_accepted	accepted
S3-20260812-017	16.63592414040238	10.0	20.0	true	true	true
S3-20260812-018	16.635924139364988	10.0	20.0	true	true	true
S3-20260812-019	16.63592413953552	10.0	20.0	true	true	true
S3-20260812-020	16.670570121107176	10.0	20.0	true	true	true
S3-20260812-021	16.670570121277706	10.0	20.0	true	true	true
S3-20260812-022	16.670570120751904	10.0	20.0	true	true	true
S3-20260812-023	16.704949313179895	10.0	20.0	true	true	true
S3-20260812-024	16.704949314004125	10.0	20.0	true	true	true
S3-20260812-025	16.704949311971973	10.0	20.0	true	true	true
S3-20260812-026	16.65328001594446	10.0	20.0	true	true	true
S3-20260812-027	16.687769541874786	10.0	20.0	true	true	true
S3-20260812-028	16.601009102444664	10.0	20.0	true	true	true
S3-20260812-029	16.739099638229504	10.0	20.0	true	true	true
