experiment_id	role	volume_ratio	initialization	electron_number_absolute_error	negative_density_fraction	projected_gradient_metric_hartree	reference_energy_difference_mev_per_atom	density_relative_l2	accepted
S3-20260812-017	core	0.995	uniform	0.0	0.0	5.655192801354565e-07	16.63592414040238	0.003332800183317675	False
S3-20260812-018	core	0.995	atomic_superposition_projection	0.0	0.0	2.0138120328276137e-07	16.635924139364988	0.003332805503989003	False
S3-20260812-019	core	0.995	low_g_perturbation_projection	0.0	0.0	5.601821817592174e-07	16.63592413953552	0.003332804635336775	False
S3-20260812-020	core	1.0	uniform	0.0	0.0	5.165639961854475e-07	16.670570121107176	0.0033384017250685807	False
S3-20260812-021	core	1.0	atomic_superposition_projection	0.0	0.0	7.849574733395123e-07	16.670570121277706	0.003338401147885895	False
S3-20260812-022	core	1.0	low_g_perturbation_projection	0.0	0.0	5.560205874138512e-07	16.670570120751904	0.003338403349426908	False
S3-20260812-023	core	1.005	uniform	8.881784197001252e-16	0.0	7.991233160408231e-07	16.704949313179895	0.0033444709639541344	False
S3-20260812-024	core	1.005	atomic_superposition_projection	8.881784197001252e-16	0.0	8.65337090006242e-07	16.704949314004125	0.0033444710755029788	False
S3-20260812-025	core	1.005	low_g_perturbation_projection	8.881784197001252e-16	0.0	8.386907964558729e-07	16.704949311971973	0.0033444736549329292	False
S3-20260812-026	pressure_platform	0.9975	uniform	4.440892098500626e-16	0.0	4.303251986600891e-07	16.65328001594446	0.0033354665112494335	False
S3-20260812-027	pressure_platform	1.0025	uniform	2.220446049250313e-15	0.0	2.601570422242017e-07	16.687769541874786	0.003342345981728777	False
S3-20260812-028	pressure_platform	0.99	uniform	8.881784197001252e-16	0.0	7.427613719988704e-07	16.601009102444664	0.0033276559473429585	False
S3-20260812-029	pressure_platform	1.01	uniform	8.881784197001252e-16	0.0	7.2554939122759e-07	16.739099638229504	0.003350004766987903	False
