source_experiment_id	scope	material	series_id	solver	volume_ratio	expected_electrons	density_mode	density_path	source_density_sha256	audit_experiment_id	input_directory	derived_suffix	input_sha256	stru_sha256	kpt_sha256	metadata_sha256	pseudopotential	pseudopotential_sha256	reference_experiment_id	reference_result_path	reference_result_sha256	reference_log_path	reference_log_sha256
S1-20260805-029	primary_baseline	al	ofdft	ofdft	0.9	3	high_precision_cube_replay	runs/S1-20260805-121/OUT.g1_ne_121_from_029/chg.cube		S1-20260805-121	inputs/s1/electron_number_audit/S1-20260805-121	g1_ne_121_from_029	71d01f67c3575568740d58f19252cc739a89bdd9de3a78f8d60a9a20ba6b7b3a	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	89a43dbdf9ec179d8da51281cd093f324ee0d238434a40f9eaffdd589dab678e	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-029	runs/S1-20260805-029/result.json	1894fb7c318c4fc4c89e3838658b46e80457928bb1b118e5b3c50e98801bb36e	runs/S1-20260805-029/OUT.s1_al_v090_ofdft/running_scf.log	2ccbf9dae9720a0248dfa91e017fe279131a1e1a63271fa4235e9ea6641803b7
S1-20260805-030	primary_baseline	al	ofdft	ofdft	0.9400000000000002	3	high_precision_cube_replay	runs/S1-20260805-122/OUT.g1_ne_122_from_030/chg.cube		S1-20260805-122	inputs/s1/electron_number_audit/S1-20260805-122	g1_ne_122_from_030	63d8305be7e7564129846d227d91af009969e9ef17b006aba070e3ffd7985551	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	408ce684612086009a1994b259c3ffc0973ce85617ad66444b37c9ca73a84177	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-030	runs/S1-20260805-030/result.json	49f4b9be38b6e774e3aa8a176fa3567c92dd0815bb3c10386ce1b5f1d25a3fdf	runs/S1-20260805-030/OUT.s1_al_v094_ofdft/running_scf.log	32aa76a8212e16caa11bd8e35c1e75a6031a3a4a58b729101ad76ac60ea53090
S1-20260805-031	primary_baseline	al	ofdft	ofdft	0.9700000000000003	3	high_precision_cube_replay	runs/S1-20260805-123/OUT.g1_ne_123_from_031/chg.cube		S1-20260805-123	inputs/s1/electron_number_audit/S1-20260805-123	g1_ne_123_from_031	7db9f876c0b958bffa5c8b75e6c75204585d466dc5fbf8f4b2e3cec7fbd90c20	afbc4693ab7f9da60ef2058d39a42af782e41982f8e64f06ee52a66b76c4150f	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	a5f2c4bde0b313775fbecf77d7367eba8634ed82b5171d2b1199b0b2d33f8a5e	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-031	runs/S1-20260805-031/result.json	c7c470354009f3f46ad9847d708346da5e78a6d66a01a71974fe62ac343bc1b6	runs/S1-20260805-031/OUT.s1_al_v097_ofdft/running_scf.log	26282f4c5c72ed92bfcfdf1216fa18904939b467d2ef0e1e2b8a92b76b9a3bf9
S1-20260805-032	primary_baseline	al	ofdft	ofdft	1.0	3	high_precision_cube_replay	runs/S1-20260805-124/OUT.g1_ne_124_from_032/chg.cube		S1-20260805-124	inputs/s1/electron_number_audit/S1-20260805-124	g1_ne_124_from_032	6aab7f489bf45e3b13767cda9c27d70153be297d4bae2906a895ada4c7bd035c	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	a46373a5eadc84e15d1d9161371221dd461a2a1c47758e7c355c07ec4b6e21b4	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-032	runs/S1-20260805-032/result.json	cf2a3db4979a13dba2963cfa631eb45684a2ce3f22608f1c120fa9d6fe18901b	runs/S1-20260805-032/OUT.s1_al_v100_ofdft/running_scf.log	3734e9579c79bc464596e4fb516471383dd1144b535f648a4d3c427ef44aaca8
S1-20260805-033	primary_baseline	al	ofdft	ofdft	1.03	3	high_precision_cube_replay	runs/S1-20260805-125/OUT.g1_ne_125_from_033/chg.cube		S1-20260805-125	inputs/s1/electron_number_audit/S1-20260805-125	g1_ne_125_from_033	4cde75ae27f4d5329d7b91b0c8499f2697923171cf49c2b28d586b3801afe0fe	2f36cb943594eb0cc81dcd3e7b6fd906e9e5da6f898fc5cfa9065db72589a683	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	ff8ade444fdb18c3c9d9f441292abe8b1a1fa7fee00b4159f4fbfd2e0ab62beb	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-033	runs/S1-20260805-033/result.json	6e147e2d190325e879054b6ef787147c8bf7a218dbeb4ebe7d55e2d4200f6b26	runs/S1-20260805-033/OUT.s1_al_v103_ofdft/running_scf.log	e652948a6285b6d0c81aa02835b86220b78bde5fefaa8e59050e5e77a7cb0b99
S1-20260805-034	primary_baseline	al	ofdft	ofdft	1.06	3	high_precision_cube_replay	runs/S1-20260805-126/OUT.g1_ne_126_from_034/chg.cube		S1-20260805-126	inputs/s1/electron_number_audit/S1-20260805-126	g1_ne_126_from_034	9b4367fde362addd65886957fa9d32aa3fbd5cbfda021ec4bc821e6e4f13904b	c178b63db14ecf1fb24c1daaa8dd0db5803f5f584865bb537393b8cb108f2d36	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	84dd2432471a1f7d56da38202fad5221a064031b884f70f0e6a66b8884ebd6db	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-034	runs/S1-20260805-034/result.json	f201c1a8f2cbcac04cf91770ac4382630de1385d7ef631826ff533b5f39939e9	runs/S1-20260805-034/OUT.s1_al_v106_ofdft/running_scf.log	19d5217f3b8b9ac225fa5864299394a9a6a3453ef7dd652493ad5417b4d287e9
S1-20260805-035	primary_baseline	al	ofdft	ofdft	1.1000000000000005	3	high_precision_cube_replay	runs/S1-20260805-127/OUT.g1_ne_127_from_035/chg.cube		S1-20260805-127	inputs/s1/electron_number_audit/S1-20260805-127	g1_ne_127_from_035	88a3440bb13454ecaf59676cdf1de389059a2c1cdbe3e13f61e46648491baa9e	c3bbf795bf196b357cd95e7d4ba619229ad687896346ffe1bfd19a3ed463cfb1	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	66e4ce3ec9df1c34e4350483345a7e0456edf51f07b8084e69cada8c6f9c2f7b	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-035	runs/S1-20260805-035/result.json	77b3cfc747b142a2cc9ded3c183c6f1d74627aece8e3750f9327527fd9f1bd5a	runs/S1-20260805-035/OUT.s1_al_v110_ofdft/running_scf.log	711429203d3d52aea12b39db8bea81a0ceb6c0a034e091615e54140bd5f3a505
S1-20260805-036	primary_baseline	al	ksdft_standard	ksdft	0.9	3	existing_reciprocal_restart	runs/S1-20260805-036/OUT.s1_al_v090_ksdft_standard/s1_al_v090_ksdft_standard-CHARGE-DENSITY.restart	c759b08aab3ac1ea6fb129bfb4aa8bb5e4a63ad7dbee84b2433552f06705977e				9c4a55bdbcc41ae644dda084ed2e0e710f98a3788164a23a9f3d6ff36123a219	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	e3d368f68869b907df36adf00a5dcbb3f54c9eb3622951d0f355667b61fce2bc	9f5b2eae09a2d793b91ba4075da857326b818d5fbdb7507977e037362eff49a0	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-036	runs/S1-20260805-036/result.json	94dad406045982b497f55be4f4b18f51c9a82bd2c1176ac9ec5fd12d07870726	runs/S1-20260805-036/OUT.s1_al_v090_ksdft_standard/running_scf.log	ca6b0896136350400cad5a431cc14d6a4ca2f76528b694a4ee72cc9ca761b4b8
S1-20260805-037	primary_baseline	al	ksdft_standard	ksdft	0.9400000000000002	3	existing_reciprocal_restart	runs/S1-20260805-037/OUT.s1_al_v094_ksdft_standard/s1_al_v094_ksdft_standard-CHARGE-DENSITY.restart	2aa159dc9d6a62eb81c0aa73a1264e7ae0cf86b0d9e87bd91a3a092a2f4d0e04				59c787fad93d70a3c1a6e6d6190b89165712cb46f5eb15cf1204431b0d304fce	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4	e3d368f68869b907df36adf00a5dcbb3f54c9eb3622951d0f355667b61fce2bc	ded0a9e61ebd7ff914880727fac71db7eb0c759be5d75cec0381e51ef75bb785	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-037	runs/S1-20260805-037/result.json	9823e44e0ab1bfb1dd4245f09f3bb9fef4daf3c73fe900941057f498620dbc4e	runs/S1-20260805-037/OUT.s1_al_v094_ksdft_standard/running_scf.log	c6812806f4a9223c99983257aa9c4375d0b4104b9b6d08686eefbefe31b93d06
S1-20260805-038	primary_baseline	al	ksdft_standard	ksdft	0.9700000000000003	3	existing_reciprocal_restart	runs/S1-20260805-038/OUT.s1_al_v097_ksdft_standard/s1_al_v097_ksdft_standard-CHARGE-DENSITY.restart	a3b5faacf92b723e39bed38647fe0a72e53c15cc3665930d8537995239808f8e				91f22036a281ca6bd3b8596a97396d6b7afd384beb944d5060a0cf66ad163c16	afbc4693ab7f9da60ef2058d39a42af782e41982f8e64f06ee52a66b76c4150f	e3d368f68869b907df36adf00a5dcbb3f54c9eb3622951d0f355667b61fce2bc	bda62b3b851bbab3c36b88bd22325b7f6a57997d678864416925c0ecc9627ffd	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-038	runs/S1-20260805-038/result.json	3d5de65df0a97aa46730bf4bc146adcfcf578da660da4a4c101cda8ec7b79fda	runs/S1-20260805-038/OUT.s1_al_v097_ksdft_standard/running_scf.log	9165525b98375a5374b6da6c5fc22f76c78a75ad533bcf8a11383913fad6ed29
