source_experiment_id	scope	material	series_id	solver	volume_ratio	expected_electrons	density_mode	density_path	source_density_sha256	audit_experiment_id	input_directory	derived_suffix	input_sha256	stru_sha256	kpt_sha256	metadata_sha256	pseudopotential	pseudopotential_sha256	reference_experiment_id	reference_result_path	reference_result_sha256	reference_log_path	reference_log_sha256
S1-20260805-052	primary_baseline	mg	ofdft	ofdft	0.9700000000000002	4	high_precision_cube_replay	runs/S1-20260805-130/OUT.g1_ne_130_from_052/chg.cube		S1-20260805-130	inputs/s1/electron_number_audit/S1-20260805-130	g1_ne_130_from_052	5732a6c5eabd43b9e3634a1cf2eda47f97a92404a5283f8e453224a49dbedcb7	265aadee1b70fc2f5c3cba85d30ac4b5b8f5a7dd88838c44f8cbfc5db97311af	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	284574c08dce1b2c72190499c554395701a50032597f88890c81db4ca0b75d23	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	S1-20260805-052	runs/S1-20260805-052/result.json	e76131e6638099ac353af44bf4e6bb72536d6c2e808c5183d707c7d7fcef0501	runs/S1-20260805-052/OUT.s1_mg_v097_ofdft/running_scf.log	fe20f55279f06eb54289f75c25e13f9ce4c0006d9f5b2c856e39a4b9a91a99ee
S1-20260805-053	primary_baseline	mg	ofdft	ofdft	1.0	4	high_precision_cube_replay	runs/S1-20260805-131/OUT.g1_ne_131_from_053/chg.cube		S1-20260805-131	inputs/s1/electron_number_audit/S1-20260805-131	g1_ne_131_from_053	223ac2500c3418a3b99bda178e30e8d9fd708ee0f547d886b148d468a557bbc1	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	2dce5bdd3ef1265d27e06e604563e621cebbada60ad70c9decb6b019f2e166ba	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	S1-20260805-053	runs/S1-20260805-053/result.json	2bc81a95c55324621e5fb57a1877ac7860643642cc470e74da47bd1a02fba8db	runs/S1-20260805-053/OUT.s1_mg_v100_ofdft/running_scf.log	63d2b600313371efd48a4478998972cb9b7cab9b2ce764949b6296503872ed6f
S1-20260805-054	primary_baseline	mg	ofdft	ofdft	1.03	4	high_precision_cube_replay	runs/S1-20260805-132/OUT.g1_ne_132_from_054/chg.cube		S1-20260805-132	inputs/s1/electron_number_audit/S1-20260805-132	g1_ne_132_from_054	717c81d739f408dfae0f3e1c1331bf9df6ac12ec1dffd10898b96e03856282b1	98aa8e2bdcd877e9ec6d0397070f213c24c4b38fba559540fcdd1ebce02ea76d	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	a3c4d4248fe1cf9b31e7dd6e5b726f277bc3a40d046f273ec38ded53489590ba	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	S1-20260805-054	runs/S1-20260805-054/result.json	c7bca7144e57c878824c79bf01c69d4f261f0f1ad2f9a8fbe10a54d3241885e0	runs/S1-20260805-054/OUT.s1_mg_v103_ofdft/running_scf.log	e4f55b4c1ff4b9271c025c6305d5dce785b0b48bc516be59edb5dc1949a34006
S1-20260805-055	primary_baseline	mg	ofdft	ofdft	1.06	4	high_precision_cube_replay	runs/S1-20260805-133/OUT.g1_ne_133_from_055/chg.cube		S1-20260805-133	inputs/s1/electron_number_audit/S1-20260805-133	g1_ne_133_from_055	4cb44ffe0e29b99aca7c74a2b4dcf576221bc9db934f536be41743c86fec53c8	bb0d40d53f0e969384656b0757876d5ea489208aafd6fec7592e2549cd6db331	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	2f79eb9fe7375e9bd515eaaaaffd19faaa23243a173b845b2aa4dd279faa343a	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	S1-20260805-055	runs/S1-20260805-055/result.json	85fd56ef04045f174958dbb1af5675520498fceef5588ccf056107dd35bdc6ca	runs/S1-20260805-055/OUT.s1_mg_v106_ofdft/running_scf.log	f505558855b241ef1d96117b0ff8c26a7ddeda008097e4bbea60c7dc9909cb12
S1-20260805-056	primary_baseline	mg	ofdft	ofdft	1.1000000000000003	4	high_precision_cube_replay	runs/S1-20260805-134/OUT.g1_ne_134_from_056/chg.cube		S1-20260805-134	inputs/s1/electron_number_audit/S1-20260805-134	g1_ne_134_from_056	05b19610738a2ea3483d8a29f7d78afe9442864428aa1ed2ce303f17b907a367	2830ba604f066a34709da8abb3fa32449372e05b41c2715e999ffd0eeafb8512	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	6b11f3faace2c09b2d88e59e5540db0b484943d8ea628f55afeb7a4269c653b4	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	S1-20260805-056	runs/S1-20260805-056/result.json	183fa4b678eb4a19e930c85a02ef9a5d2c343d68353d0fb0a3891ee31e849fed	runs/S1-20260805-056/OUT.s1_mg_v110_ofdft/running_scf.log	6fdaf75fbe8640cf45bce5601bcebc2429518c26b150fb4cb399dbf4eabbe87d
S1-20260805-071	primary_baseline	al	ofdft_next_cutoff	ofdft	0.9	3	high_precision_cube_replay	runs/S1-20260805-135/OUT.g1_ne_135_from_071/chg.cube		S1-20260805-135	inputs/s1/electron_number_audit/S1-20260805-135	g1_ne_135_from_071	8c38a6bfd692332e4120c3e2a08a78f4dbfc0578abe0337b5faca3f2bbc03608	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	2cf71c542b28641994b3be83b81395f25e1be2adf53a677e6aec25c0690dfaa0	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-071	runs/S1-20260805-071/result.json	9045f6337faf968b24b9eb42df1248ea29d27d84a84c5065a0f5da4b938f5066	runs/S1-20260805-071/OUT.s1_al_v090_ofdft_next_cutoff/running_scf.log	6ab2d8496ceb63804fa8b7cb830a44a2fc98a23f0a0ebad5831b13e74846b8d4
S1-20260805-072	primary_baseline	al	ofdft_next_cutoff	ofdft	0.9400000000000002	3	high_precision_cube_replay	runs/S1-20260805-136/OUT.g1_ne_136_from_072/chg.cube		S1-20260805-136	inputs/s1/electron_number_audit/S1-20260805-136	g1_ne_136_from_072	c98ee366fa61431fed3d364b6f032f842c2e36c98939048421325ac88518f6e9	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	1a386be8741b77f10ab1c78519a384fbb17951e69f0eac9502f4df68456f39b0	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-072	runs/S1-20260805-072/result.json	a86c67686139488656641d32798a7d83f6ce0bb78717cb7e0066fd0e0556d4a2	runs/S1-20260805-072/OUT.s1_al_v094_ofdft_next_cutoff/running_scf.log	0f87d5a9bd9f072113e7951bdd1563ac99a234cf1d7bcbc346a4d396c201b39f
S1-20260805-073	primary_baseline	al	ofdft_next_cutoff	ofdft	0.9700000000000003	3	high_precision_cube_replay	runs/S1-20260805-137/OUT.g1_ne_137_from_073/chg.cube		S1-20260805-137	inputs/s1/electron_number_audit/S1-20260805-137	g1_ne_137_from_073	a9364a7eb504af5df428d82c49c7acba0c96a61249995422d2b2a0bde399d01b	afbc4693ab7f9da60ef2058d39a42af782e41982f8e64f06ee52a66b76c4150f	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	80cb7daf5da487cb580da9771717e3118b901614ba18a3663ff04e517b4e91d4	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-073	runs/S1-20260805-073/result.json	0aac3150a42be2c66ad93d87e03ba69b2ad777e2745516e3a580c57143763c81	runs/S1-20260805-073/OUT.s1_al_v097_ofdft_next_cutoff/running_scf.log	c1f856ec618b1ec52006c69771fc35fdc3384e163315b288338442713c96cc5e
S1-20260805-074	primary_baseline	al	ofdft_next_cutoff	ofdft	1.0	3	high_precision_cube_replay	runs/S1-20260805-138/OUT.g1_ne_138_from_074/chg.cube		S1-20260805-138	inputs/s1/electron_number_audit/S1-20260805-138	g1_ne_138_from_074	54023d7f94adfd7262ee6c72fbefb4a998400f81983d26c5a27e530ea752d236	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	633fca8ab7a1bb79c0861c85c785ba7b281d7a1de2dd17930e9b265b8a10b9dd	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-074	runs/S1-20260805-074/result.json	93a28628e95d5d10ede91a911e99fc7814bc9013c8ca3dd2e0a118aba17c86fe	runs/S1-20260805-074/OUT.s1_al_v100_ofdft_next_cutoff/running_scf.log	a513863dba0225a0599adea825bebd6b7342db3c75232a3aee5256d4a1387fa6
S1-20260805-075	primary_baseline	al	ofdft_next_cutoff	ofdft	1.03	3	high_precision_cube_replay	runs/S1-20260805-139/OUT.g1_ne_139_from_075/chg.cube		S1-20260805-139	inputs/s1/electron_number_audit/S1-20260805-139	g1_ne_139_from_075	2bcef268cf28bc4ffb57436ba1bb5f6adfec612a8be286317d0d8c0903d6d209	2f36cb943594eb0cc81dcd3e7b6fd906e9e5da6f898fc5cfa9065db72589a683	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	47f3dcfc9834e47f587e5384c45f81f12143e3cd3918addaacfabf99b71e6d49	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	S1-20260805-075	runs/S1-20260805-075/result.json	ad45c3e63c1aea3bbd09d7d63dd520e4197d1fe358d9a44609b4b5bb49276330	runs/S1-20260805-075/OUT.s1_al_v103_ofdft_next_cutoff/running_scf.log	a58cbe7afadd459cc756183745c2436c43d9dacc0bccf77a7958d1f2900112f0
