experiment_id	input_directory	material	series_id	volume_ratio
S1-20260805-029	inputs/s1/eos_candidates/al/v090/ofdft	al	ofdft	0.9
S1-20260805-030	inputs/s1/eos_candidates/al/v094/ofdft	al	ofdft	0.94
S1-20260805-031	inputs/s1/eos_candidates/al/v097/ofdft	al	ofdft	0.97
S1-20260805-032	inputs/s1/eos_candidates/al/v100/ofdft	al	ofdft	1.0
S1-20260805-033	inputs/s1/eos_candidates/al/v103/ofdft	al	ofdft	1.03
S1-20260805-034	inputs/s1/eos_candidates/al/v106/ofdft	al	ofdft	1.06
S1-20260805-035	inputs/s1/eos_candidates/al/v110/ofdft	al	ofdft	1.1
S1-20260805-036	inputs/s1/eos_candidates/al/v090/ksdft	al	ksdft_standard	0.9
S1-20260805-037	inputs/s1/eos_candidates/al/v094/ksdft	al	ksdft_standard	0.94
S1-20260805-038	inputs/s1/eos_candidates/al/v097/ksdft	al	ksdft_standard	0.97
S1-20260805-039	inputs/s1/eos_candidates/al/v100/ksdft	al	ksdft_standard	1.0
S1-20260805-040	inputs/s1/eos_candidates/al/v103/ksdft	al	ksdft_standard	1.03
S1-20260805-041	inputs/s1/eos_candidates/al/v106/ksdft	al	ksdft_standard	1.06
S1-20260805-042	inputs/s1/eos_candidates/al/v110/ksdft	al	ksdft_standard	1.1
S1-20260805-043	inputs/s1/eos_candidates/al/v090/ksdft_half	al	ksdft_half	0.9
S1-20260805-044	inputs/s1/eos_candidates/al/v094/ksdft_half	al	ksdft_half	0.94
S1-20260805-045	inputs/s1/eos_candidates/al/v097/ksdft_half	al	ksdft_half	0.97
S1-20260805-046	inputs/s1/eos_candidates/al/v100/ksdft_half	al	ksdft_half	1.0
S1-20260805-047	inputs/s1/eos_candidates/al/v103/ksdft_half	al	ksdft_half	1.03
S1-20260805-048	inputs/s1/eos_candidates/al/v106/ksdft_half	al	ksdft_half	1.06
S1-20260805-049	inputs/s1/eos_candidates/al/v110/ksdft_half	al	ksdft_half	1.1
S1-20260805-050	inputs/s1/eos_candidates/mg/v090/ofdft	mg	ofdft	0.9
S1-20260805-051	inputs/s1/eos_candidates/mg/v094/ofdft	mg	ofdft	0.94
S1-20260805-052	inputs/s1/eos_candidates/mg/v097/ofdft	mg	ofdft	0.97
S1-20260805-053	inputs/s1/eos_candidates/mg/v100/ofdft	mg	ofdft	1.0
S1-20260805-054	inputs/s1/eos_candidates/mg/v103/ofdft	mg	ofdft	1.03
S1-20260805-055	inputs/s1/eos_candidates/mg/v106/ofdft	mg	ofdft	1.06
S1-20260805-056	inputs/s1/eos_candidates/mg/v110/ofdft	mg	ofdft	1.1
S1-20260805-057	inputs/s1/eos_candidates/mg/v090/ksdft	mg	ksdft_standard	0.9
S1-20260805-058	inputs/s1/eos_candidates/mg/v094/ksdft	mg	ksdft_standard	0.94
S1-20260805-059	inputs/s1/eos_candidates/mg/v097/ksdft	mg	ksdft_standard	0.97
S1-20260805-060	inputs/s1/eos_candidates/mg/v100/ksdft	mg	ksdft_standard	1.0
S1-20260805-061	inputs/s1/eos_candidates/mg/v103/ksdft	mg	ksdft_standard	1.03
S1-20260805-062	inputs/s1/eos_candidates/mg/v106/ksdft	mg	ksdft_standard	1.06
S1-20260805-063	inputs/s1/eos_candidates/mg/v110/ksdft	mg	ksdft_standard	1.1
S1-20260805-064	inputs/s1/eos_candidates/mg/v090/ksdft_half	mg	ksdft_half	0.9
S1-20260805-065	inputs/s1/eos_candidates/mg/v094/ksdft_half	mg	ksdft_half	0.94
S1-20260805-066	inputs/s1/eos_candidates/mg/v097/ksdft_half	mg	ksdft_half	0.97
S1-20260805-067	inputs/s1/eos_candidates/mg/v100/ksdft_half	mg	ksdft_half	1.0
S1-20260805-068	inputs/s1/eos_candidates/mg/v103/ksdft_half	mg	ksdft_half	1.03
S1-20260805-069	inputs/s1/eos_candidates/mg/v106/ksdft_half	mg	ksdft_half	1.06
S1-20260805-070	inputs/s1/eos_candidates/mg/v110/ksdft_half	mg	ksdft_half	1.1
