execution_index	experiment_id	material	perturbation_kind	pair_id	sign	amplitude	input_directory	source_experiment_id	source_run_tree_oid	atom_count	expected_electrons	kmesh	suffix	input_sha256	stru_sha256	kpt_sha256	metadata_sha256	pseudopotential	pseudopotential_sha256
1	S1-20260810-201	al	al_2x1x1_base		0	0.000	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-201	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	2	6	28x28x28	g1dsr1_al_201	cc0fbb0a04e382b054a18adb109ba1042eede2a7c15196e1cb8b6b8f73adaa26	57b0369a9d0a5402b2146d367a7ffe20f139d32bd88d647a1751521e85c17964	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	2b02ffaa69a2ca994d9056f49756ed2d0b95cf53c43d44e80cd69986fa6b6417	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
2	S1-20260810-202	al	al_2x1x1_displacement_x	al_displacement_x	+	0.010	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-202	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	2	6	28x28x28	g1dsr1_al_202	d6000c6280788c72def22061475ea9d6fe13db73d35f134eb93fa48407531d46	3287701b3da31e8ed756b66d0d7bc074ed62177f7c863447fa4ae04d3f8be82b	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	6eb46d380292c7f45992c06927453e37cc868e8134b8c59e4ae744cbc0d20414	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
3	S1-20260810-203	al	al_2x1x1_displacement_x	al_displacement_x	-	0.010	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-203	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	2	6	28x28x28	g1dsr1_al_203	963e02d1583f6338f75aad4b521953c7d41828f113c08894326257a9de24bd16	8fa020a674560b528e0d2d43b6fd6c8996a1775c057a1c8e55a94eec72ff7b5e	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	90c49d7b9d41f33375d736748d92f524a5b882451b18cb8a0a188baeb2c341d1	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
4	S1-20260810-204	al	al_tetragonal	al_tetragonal	+	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-204	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	1	3	28x28x28	g1dsr1_al_204	8205c5cf855c3584b22598dfeff044befda7c7b8fa3858f41df448053c006cfb	3b70898321e808fd51b9d2324aa2f9a3c8c10dfa33b2cca69460a1ee75a349e1	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	2507778443f39d9f6638c8df40b617b4c730b1a2101b3d23ec6b6f4f199652b7	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
5	S1-20260810-205	al	al_tetragonal	al_tetragonal	-	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-205	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	1	3	28x28x28	g1dsr1_al_205	36570fd8a5e8d56a9e8db7fe73460ef01749c7aa7e67dfb1a05a38bd155ede0d	25fb366eb116bb63bb080e2b8005713494486312a5294a265aa29b19efb8d8c6	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	4d5ac2a6a439bd82d8dc52eab1ec10bd221bdc85d127eaa61db9bb1a224750eb	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
6	S1-20260810-206	al	al_shear_xy	al_shear_xy	+	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-206	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	1	3	28x28x28	g1dsr1_al_206	8c465526c712addde512d7cceca75812244d954ecc67d07e702c4d524ad16105	5cf5c759232e11d083825a5723f7cf57d13821ae2bb5ed6c94e94651a06e032b	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	030c1f61fd7b9a2aa1480a154a0653111a51242d9b72c2ccfb77408e3ac1c3a4	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
7	S1-20260810-207	al	al_shear_xy	al_shear_xy	-	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-207	S1-20260807-043	f6aebad35880164176afe032f91e0de65d2aa456	1	3	28x28x28	g1dsr1_al_207	ef4653df26103b10a8e805640c98a000be8da0beda0efc22cfec56026acb61c5	782289a154c58ab4ad7ba91492f9b4d46553ac41ec71d34cf492521b274a2a15	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	c9c74e67e92018d01225a6b610df0ac8f43426ef19431a190135eda3362ff197	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d
8	S1-20260810-208	mg	mg_displacement_basal_x	mg_displacement_basal_x	+	0.010	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-208	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_208	560d77c14b4e6780b3be1f8124713dfee6b5164bd891739c45a59044f0c0ddfb	e7677c81713f77ba57c6a75da9e764741285be6b35c32273b9d0a76d4d487983	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	cd5743f54ab5251668d93935042ec6f457938d3dd038316becc233be8971303e	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
9	S1-20260810-209	mg	mg_displacement_basal_x	mg_displacement_basal_x	-	0.010	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-209	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_209	33f297c3ae8f5f013615684326fc05d81774a0971f18532feacac648ea064941	31773168707fe760b2a9f50e0fcb248196b8cf8e230e5c41b1bf5e84ff5d85ee	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	756f61cdf37cde674f166c0f9c1e201c90119843281bf68265e65e203fb1fd02	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
10	S1-20260810-210	mg	mg_displacement_c_z	mg_displacement_c_z	+	0.010	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-210	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_210	88c272c17eea6de5db5bb924ecc3551f934d00cdb79999a02140282be4313284	29cab67860cfb7e18c805ee6572f5e55a2df216caea7a6efa45f38ae510cfbab	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	b82f8dcb929627e18673b84e8f3f0970e2d7e93de7acabc9b57ca5c2ca62ea66	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
11	S1-20260810-211	mg	mg_displacement_c_z	mg_displacement_c_z	-	0.010	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-211	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_211	d282814407716a6e30528306e8ff228c9eddb17bbe34fb997f95766c275e172f	37492ac634b7d8b04223483663bf6a3b8e5b4ca8047f45424727c1ec21e8fa81	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	aa27d91044677fde16bc304f28a17f4f3fdc66a5458e26acb2f04d30c226a58f	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
12	S1-20260810-212	mg	mg_axial	mg_axial	+	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-212	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_212	8e84fb6a8e2ecc0fcb7b2a89b827b81958ef007454dba5a5a18ea266292f76fe	1878e4e81032c604494a65b080f7ac9b95816f75431fdeaf5544e4f6439c69fa	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	7067a7f7ba691e0d8dfee91d750c92e5267b98643728d6b8df6a72103ea42835	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
13	S1-20260810-213	mg	mg_axial	mg_axial	-	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-213	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_213	0ab457665d0aecb29024b640863c9ce9f904c229b2562221bb4e5299622dda7a	784693c1fe36342110fcb1e91653067eedfe9be5aeac5dd2a5ab37030dec20b7	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	8bc00188d4004300e1814b5d973f4220afd629d673cf52f21e8dd4aec0292d26	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
14	S1-20260810-214	mg	mg_shear_xz	mg_shear_xz	+	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-214	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_214	e11c64045d9d72ebed06c9376bdd94f87985c1745cb5ab44ee4613a143159df9	5bf688cced32a5b73d441a112291dbf383c47dd759a332077478fe99923df359	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	178c6e60d02e3647b175d0ad90322597d4c961777b51e99b7d717eb5d6b007f6	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
15	S1-20260810-215	mg	mg_shear_xz	mg_shear_xz	-	0.005	inputs/s1/g1_displacement_strain_reference_r1/S1-20260810-215	S1-20260807-045	6ffbe064f97f60e3f12782f49824740a854c7422	2	4	24x24x16	g1dsr1_mg_215	203c49d1d0e8d32313be7523067f83f5e2b96c71bafe1db320733cdd32d882f0	c8a0c8e53aa98afbafd035567faf2b76db99a62fddaba1e43ae8d159b8db3b7d	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	216d717e91e5eade4cc9edb094c736d2f1e77260b0cb4b4e28acc9c8e2876520	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259
