execution_index	case_id	source_run_id	material	solver	profile	source_tree_oid	input_sha256	stru_sha256	kpt_sha256	metadata_sha256	pseudopotential	pseudopotential_sha256	source_result_sha256	source_log_relpath	source_log_sha256	density_relpath	source_density_sha256	potential_relpath	source_potential_sha256	grid	atom_count	expected_electrons	timeout_seconds
1	S1-G1-REGEN10-20260810-011	S1-20260805-071	al	ofdft	ofdft_scalar	f3ad397ea27f101c3964440f6f82ad994d1540e0	b7a5c1177c155e5a7a1ee79bb9128da0eb5be51e5535943da83f0cb61ebb50a7	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	70dd577902bbee42c9a181d4e0b348e6c790c80c6fc055ea68d1a7b4154df4d3	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	9045f6337faf968b24b9eb42df1248ea29d27d84a84c5065a0f5da4b938f5066	OUT.s1_al_v090_ofdft_next_cutoff/running_scf.log	6ab2d8496ceb63804fa8b7cb830a44a2fc98a23f0a0ebad5831b13e74846b8d4						1	3	600
2	S1-G1-REGEN10-20260810-012	S1-20260805-077	al	ofdft	ofdft_scalar	3cff6c14326e7460f36ebcc4ade6878838448112	8f5a3263be8fc02291a6d5379c0bd09b44f41836a078c3cffe7126c2418cd01f	c3bbf795bf196b357cd95e7d4ba619229ad687896346ffe1bfd19a3ed463cfb1	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	a613b658e39c59d6837bfe9dbe84590a3b14ed2cc1d82b1ba5fe1fddbe7d4292	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	906f8396e3ea812f8b8b2a5d5bb5679169cd92a3c9574e402a1c89c90a8ab828	OUT.s1_al_v110_ofdft_next_cutoff/running_scf.log	3fc4d30587cf5d0eb1738a6001cb06322ece206dffe7534cfe03b43c4e9ee26d						1	3	600
3	S1-G1-REGEN10-20260810-013	S1-20260805-092	mg	ofdft	ofdft_scalar	71a41185a569c0873133f7d3d0c29b42621315bc	da22228325ccee13e7705d5a7aa8f8270a07cca3edfd99eff010259f113337ff	0e7bfc23e322646ef9a3a3ab3f83d913c6116b293baf0e8982368679601ebbd6	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	eb6cc6859f28e26fb4b366588ec862e00fcb61efc1469bbab67518e88fc710dc	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	cb8b8adab6b384d56346d50d55957da76171440470f88c7e5783d8d01c6f36f5	OUT.s1_mg_v090_ofdft_next_cutoff/running_scf.log	f81a4dd15f7e0f3b15d9070b514dc08006de20ba2bf4477ef95dc45e7bcfbe70						2	4	600
4	S1-G1-REGEN10-20260810-014	S1-20260805-098	mg	ofdft	ofdft_scalar	1aaf580a2d70e14e5da78d92ee583908a8d51293	73304a0a635c14abcdadabf3ec5451f55c0f56c71e8c306436a9f598b17b576a	2830ba604f066a34709da8abb3fa32449372e05b41c2715e999ffd0eeafb8512	91042b39ee493cb5c1bee648adc865a2e5935a29278eb405dc009f994db55ece	9442803c6b0b91bd570597008410f9b657b9024c10042d4a57038439534c353e	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	826b0e4b676ac76bea172b1816bd8a779a9d198f6816c5170d23600b91dd67f1	OUT.s1_mg_v110_ofdft_next_cutoff/running_scf.log	baaef2fd418f6944cedd77d48dbdcd6ef142de1a2f6a3691c8664d664028bdda						2	4	600
5	S1-G1-REGEN10-20260810-015	S1-20260807-047	al	ksdft	ks_r4_field	dadc067d96b947e650f744480a4ab91466dfafb8	7562cb1441b4984b30ad07190a4de739f3342df77c60deb10f622624d3349216	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	07ef99bc02cc5e4cd7d6ceb242d018064ec26d01f67fc4cb7b73c75ad5fb863f	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	b59caf173656e5d06b196d93eef2d8674d72fac363eb68e23a79ccfd6bb80399	OUT.g1tlr4_al_v090_quarter/running_scf.log	b2412e9b36aa95a78adcc1dde63df0fc170a53b6379c69b7b6327f788dc42d4a	OUT.g1tlr4_al_v090_quarter/chg.cube	4508781596bc2cb772f5bad4593c2399c3b23473837ceff1b3e987e080aadef1	OUT.g1tlr4_al_v090_quarter/pot.cube	e857e8eee21e7b5a65437435c4800e6585445fe5fdc669eb9062918881e13792	24x24x24	1	3	1800
6	S1-G1-REGEN10-20260810-016	S1-20260807-043	al	ksdft	ks_r4_field	f6aebad35880164176afe032f91e0de65d2aa456	15f6a193e5d4b5d54a381810460a284a1818b545fe47109814f54f16a58e2547	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	59d08362437c68f201e96c57cdb5cdb4839678b1172bc1dcdf31de5e09ed1ff9	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	4fa704cf358d71156fe39b458d0528095ab62353ce12c5e88bd6691f777c1c1a	OUT.g1tlr4_al_v100_quarter/running_scf.log	8d847539f7015e098cd202301f5a83b30339222bf54e5961ee94e6bf056bb22a	OUT.g1tlr4_al_v100_quarter/chg.cube	ca4ec0ecf87b709eab4ae1d6126fc66414678a1249b00298a9d79fbd25f05150	OUT.g1tlr4_al_v100_quarter/pot.cube	14e058ef3716c8403ea0e258f806c2dd3d9eb23e2f36ccbe21b1a29011d3a163	24x24x24	1	3	1800
7	S1-G1-REGEN10-20260810-017	S1-20260807-049	al	ksdft	ks_r4_field	8b54792fdfed02a6cfe84b99c2c7c95065240783	359dfc9b195155961b9e16b134b9be42052ac020704a940ac3fd4c1ff5aa7aa9	c3bbf795bf196b357cd95e7d4ba619229ad687896346ffe1bfd19a3ed463cfb1	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	ca4c33b7e03cabc3f633977765cad7390980339dbf992f77024cc014a1508deb	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	75bd92ee12c8cd73647324dc5316f7de8891dea60c4f3992ef8feb82869cb988	OUT.g1tlr4_al_v110_quarter/running_scf.log	6d6463224b577ea5442ea1f8086c4f757bb3544b18f3590924e4aacef7de89a7	OUT.g1tlr4_al_v110_quarter/chg.cube	647a7fe4823002af2aba8b3b8f5fe587e17040d1e5056b252e20dd72348c0448	OUT.g1tlr4_al_v110_quarter/pot.cube	862bf4dd06afd0ee80f1d13163cdeb14b61179ebe548e9f4ed0f36db44d6946b	24x24x24	1	3	1800
8	S1-G1-REGEN10-20260810-018	S1-20260807-051	mg	ksdft	ks_r4_field	b204f03682eb83fcc44569ba8f732ad63d1da264	a70fe604545534cd77ea193969661faa7d9ff2d215fe96d3f3c75662d86670a1	0e7bfc23e322646ef9a3a3ab3f83d913c6116b293baf0e8982368679601ebbd6	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	5ce64568e2b7ec154f777e6bb9d0eff206e3b15f9462c73a67d538501454339d	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	b40128bc777bd5d3d537a38bcdedd3e3d208f4e430ce1e24c338aff99563048a	OUT.g1tlr4_mg_v090_quarter/running_scf.log	94d86288c2f6eec4709f67257f8c196eef817c4e0f6538b720aa7006c79ed7e5	OUT.g1tlr4_mg_v090_quarter/chg.cube	bb4d71a3d656bce8c2bfdb5f0b802991049ed1d4a20b195f73be228a53f73582	OUT.g1tlr4_mg_v090_quarter/pot.cube	c550779c7d323785dcda7d659923b1c3258ddc13ad3173e3d546afa8eda92081	24x24x40	2	4	3600
9	S1-G1-REGEN10-20260810-019	S1-20260807-045	mg	ksdft	ks_r4_field	6ffbe064f97f60e3f12782f49824740a854c7422	18132e2a5950a63598d7b14861ee57d58b46a757333cac7b90e10c46b7473c74	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	71dee5b3c61b35b3eaebd84f2fec3217322b0df8c9f7ae723894012d2c366ea7	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	a93f02997c389ddd6d9d1b1a84b044ee02a5c151dbf8db155c0113eda0f04de8	OUT.g1tlr4_mg_v100_quarter/running_scf.log	08c46b6b90a17d4031f193d67bcda4dec7cd3a9d069c1fd1ec3f8d6b66a28ecb	OUT.g1tlr4_mg_v100_quarter/chg.cube	b18247223543bfe087fe286cd3db341a2010ecba2c066453727ca6dd73ab0038	OUT.g1tlr4_mg_v100_quarter/pot.cube	dfcecaca4ab7347f159a7f75264e1850b27f9b30d6e4c9d5933d35dc5fa7b6b6	25x25x40	2	4	3600
10	S1-G1-REGEN10-20260810-020	S1-20260807-041	mg	ksdft	ks_r4_field	cb95d4c4b056c055dc745d5255925d3076323857	8beacc618f02a1835eb4e275bc73d26e1b2731f0990d5f8d8cacf3553bee7f1c	2830ba604f066a34709da8abb3fa32449372e05b41c2715e999ffd0eeafb8512	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	251051d1331f338a793c4125d5101c8c0553d92792426b7372370f3a983067fc	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	ddb69d7f16a66f503297918e86b00d634e261c9d1b554287ff5614505c0aa894	OUT.g1tlr4_mg_v110_quarter/running_scf.log	1d8175863466895fe1fe0b6438d72a2be5b02d3cdb391238f1238a5b076ac4a8	OUT.g1tlr4_mg_v110_quarter/chg.cube	bb76a6f7701dbfef8b5537f0af74e6262c9eb710dfc2edd418da917b20f3c708	OUT.g1tlr4_mg_v110_quarter/pot.cube	b8cb442dee6738f8ecc2c4aa9db940afcf88540ce8fc9b950c1ef335b2d7c2b4	25x25x45	2	4	3600
