execution_index	execution_phase	experiment_id	input_directory	material	volume_ratio	smearing_level	smearing_sigma_ry	kmesh	run_role	source_experiment_id	source_run_path	source_run_tree_oid	reference_experiment_id	common_quarter_partner_id	dense_standard_scalar_source_id	suffix	input_sha256	stru_sha256	kpt_sha256	metadata_sha256	pseudopotential	pseudopotential_sha256	source_input_sha256	source_stru_sha256	source_kpt_sha256	source_metadata_sha256	source_result_path	source_result_sha256	source_log_path	source_log_sha256	expected_electrons	atom_count	cube_precision	density_basename	potential_basename
13	P2	S1-20260806-001	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-001	al	0.90	standard	0.00734986	28x28x28	dense_standard_field_replay	S1-20260805-085	runs/S1-20260805-085	3672eb5539eaa4da10afce261c414c39ca349539	S1-20260805-085		S1-20260805-085	g1tlr1_al_v090_standard	9f5f6120a231014743f225fcdb423df108102334d50b09cfdfb8f9d706559d8f	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	9d663a9560f843a3cfbf9196b5ffadeceb300263c0262e3e85f58393fecff8e3	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	65319dc1eef443fb960dd678ec939df21114fb8353b7229f2c463e8736233a6d	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	a21951456515c133d140be36e1d7708fdf49968428ecf2c149d8a425576fd577	runs/S1-20260805-085/result.json	e1039701251daeb553d979827bfba724109206ff6d573ae11fa3b34294bd08f7	runs/S1-20260805-085/OUT.s1_al_v090_ksdft_next_kmesh/running_scf.log	e6f970816dbaf201e7f1cba97b044f306c097e3a5581a9b7512ac9a03532279b	3	1	17	chg.cube	pot.cube
14	P2	S1-20260806-002	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-002	al	1.00	standard	0.00734986	28x28x28	dense_standard_field_replay	S1-20260805-088	runs/S1-20260805-088	2dec5d9b4b54769666814d4090b0252ec29afd77	S1-20260805-088		S1-20260805-088	g1tlr1_al_v100_standard	ecbfdc734653865255b9d0d99b93ee0e78829d429e73f8ea4249aa11f0c677be	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	4286e8a8143d5778c9e1a37fb3cb0ab1fcaa115e899fef13be73a79e15b702c2	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	3867a0c98b25ced4c7c3c0cc806e4c2bc287f13dcf4e7b077320d43f8f02aa69	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	4d7744543f06b77b136c50026beb82e0fea2ab21e544582fbb5f959543df659e	runs/S1-20260805-088/result.json	62d967f35205f79578a7cafb52786fe6a6cd82c61dc929be07589d35862e409b	runs/S1-20260805-088/OUT.s1_al_v100_ksdft_next_kmesh/running_scf.log	7f3846a7184b6b9ec35a074d76d968d62843ff9f7958a38739aca02b17f34369	3	1	17	chg.cube	pot.cube
15	P2	S1-20260806-003	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-003	al	1.10	standard	0.00734986	28x28x28	dense_standard_field_replay	S1-20260805-091	runs/S1-20260805-091	21869431c5260bb6befb95ac30d03e457944602b	S1-20260805-091		S1-20260805-091	g1tlr1_al_v110_standard	e16a0f6847b408bfa095e997583f6a565731bcf950a17b1970c3a3a0a1116fbb	c3bbf795bf196b357cd95e7d4ba619229ad687896346ffe1bfd19a3ed463cfb1	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	79aa72c81343071915dc91d72d21878774a6f7b563b57aa2a19cf0becaeef2a8	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	dab77898601a69743a28cdd038680b4d0253b2e37ea4d6fcc30d878fc149fcde	c3bbf795bf196b357cd95e7d4ba619229ad687896346ffe1bfd19a3ed463cfb1	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	0407de2b153eb56cd5122c35d192269b5a07ac607746375d449286a6a04c2420	runs/S1-20260805-091/result.json	7e31a15ee581e2569fb083a2c41bfad1f39252cc8b8d516e78795d57064f4b11	runs/S1-20260805-091/OUT.s1_al_v110_ksdft_next_kmesh/running_scf.log	ed73ccbf8b96dbd0536f88bd8bdc2c4dbb26629d8f28201cfc45fab54d3a29ad	3	1	17	chg.cube	pot.cube
16	P2	S1-20260806-004	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-004	mg	0.90	standard	0.00734986	24x24x16	dense_standard_field_replay	S1-20260805-106	runs/S1-20260805-106	5ad7128d3498d98b35f4c850e060a138827595cf	S1-20260805-106		S1-20260805-106	g1tlr1_mg_v090_standard	55a6ed610998e531e837e3c78a6cd4d8d370b6a61f3fcac91882bb5126da0f9a	0e7bfc23e322646ef9a3a3ab3f83d913c6116b293baf0e8982368679601ebbd6	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	d61168bad6968e6afa595c977c0926a1ed31f82e059a6dd4c7e966c9829985b1	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	70fe1fee6bdaeabc326c4786581a9875452b2e61783ae581fa6429413483ec5d	0e7bfc23e322646ef9a3a3ab3f83d913c6116b293baf0e8982368679601ebbd6	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	aa6f2607801be2ebfe4eaeaad72747e4e8996b5a6b6801a370be252d2a6fed04	runs/S1-20260805-106/result.json	9f32f5150d26c05505a391bda621eb9ea09d750136a7833ed8a13a4bbe81e40a	runs/S1-20260805-106/OUT.s1_mg_v090_ksdft_next_kmesh/running_scf.log	112afca6ba809a142552dbd7c6ce511f9ea80d110721e154ef7e91db9f38cf3b	4	2	17	chg.cube	pot.cube
17	P2	S1-20260806-005	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-005	mg	1.00	standard	0.00734986	24x24x16	dense_standard_field_replay	S1-20260805-109	runs/S1-20260805-109	ab24c683ac59ac8106f06b4a2b6f51b2941adc9f	S1-20260805-109		S1-20260805-109	g1tlr1_mg_v100_standard	cbd0a9d2d3d420e8b13ef81fba44b6bd22d0a7787694dfa5fb4919a232f13910	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	cc994f49c5f8ae392838b4c7c75600854ffa3aecb3745b162c8177e99c9d8b3e	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	67c0fcb50d190d1839dfe8bf9d1fc988d5d2b9944e79a3b90fac20d0f99976f9	f65d6ce58a2ccc15d9970a14ecfb40a800f4d7a27b325a4d9aae344999faf19c	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	c0e159319038c98333a6fb1506a9e96d6abfbfcd3d6c907ac6ac5d7c5d71e926	runs/S1-20260805-109/result.json	eb8e43efe414199a7778ffe6ddbf6f7d47a072e897b6f364602af38e37f74f03	runs/S1-20260805-109/OUT.s1_mg_v100_ksdft_next_kmesh/running_scf.log	8991796201f6fe0a626f2bf6f5972c27a2e08af2ed49b1a123708724e3b80328	4	2	17	chg.cube	pot.cube
18	P2	S1-20260806-006	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-006	mg	1.10	standard	0.00734986	24x24x16	dense_standard_field_replay	S1-20260805-112	runs/S1-20260805-112	5599eb5f90192ed23894ae27358373e9998646a1	S1-20260805-112		S1-20260805-112	g1tlr1_mg_v110_standard	064b0e6f66ca7d2d82ad3b4f86fc5061ebf06684b5e56a0c46abb3a146e3b53b	2830ba604f066a34709da8abb3fa32449372e05b41c2715e999ffd0eeafb8512	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	5c93cb696a7c928839be7a738210adea0fc164cf3034d77730eaafa7f29623d0	mg.lda.lps	4b964580cfbd798708299bb0e0baef2f437983d29e6d7040f63b7532038b4259	a59b1c3de74e596e77f2087af09a457d1ebcc9c65c6ec376bbed727205e554b0	2830ba604f066a34709da8abb3fa32449372e05b41c2715e999ffd0eeafb8512	d59f4a8d01e74f7ec8fb53fe7de304457198bb3b6da2d7dcebba6c08c3330c4f	f36a76e516a87c1ef57201b2b4848447ea6ed5ca0e6eaa1694df2c1b65ead816	runs/S1-20260805-112/result.json	e060864d7a488bb26ac48aa645aff9ad2b93ca56831f9e5a5c9ebccdc23b8ce9	runs/S1-20260805-112/OUT.s1_mg_v110_ksdft_next_kmesh/running_scf.log	df4791d2bef87ac930e8fb18b5cbf328968c5d66cd343bb6a53aa9483f600907	4	2	17	chg.cube	pot.cube
19	P2	S1-20260806-007	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-007	al	0.90	half	0.00367493	28x28x28	common_dense_half_eos	S1-20260805-085	runs/S1-20260805-085	3672eb5539eaa4da10afce261c414c39ca349539	S1-20260805-085		S1-20260805-085	g1tlr1_al_v090_half	f131bf7fa9ba1e73e627df17c1e243b674df53dbb47eb7142518ce5a314bec13	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	2cc942d0ce23b10314a0fe676f3d57ded8aae8e034ed7c9a9b093afe89db73c3	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	65319dc1eef443fb960dd678ec939df21114fb8353b7229f2c463e8736233a6d	78f39f8f09367c41279248b1772a2dbe9dd77d2839931891ce5696b7ebac7fea	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	a21951456515c133d140be36e1d7708fdf49968428ecf2c149d8a425576fd577	runs/S1-20260805-085/result.json	e1039701251daeb553d979827bfba724109206ff6d573ae11fa3b34294bd08f7	runs/S1-20260805-085/OUT.s1_al_v090_ksdft_next_kmesh/running_scf.log	e6f970816dbaf201e7f1cba97b044f306c097e3a5581a9b7512ac9a03532279b	3	1	17	chg.cube	pot.cube
20	P2	S1-20260806-008	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-008	al	0.94	half	0.00367493	28x28x28	common_dense_half_eos	S1-20260805-086	runs/S1-20260805-086	70c652a919a00a3223b55394d4f2c9f79a64ed03	S1-20260805-086		S1-20260805-086	g1tlr1_al_v094_half	00026f853b0b2c7df61e0915f1b2a8787675b7c97bb95012548099d940a1ad80	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	6f0ec543ebbadaaf290c63f2d4808bfc3601f818a1b7956914ec18b6a148c94a	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	efe76c914f330b96f9b84caaf0297e64456e9eb6a5ba0963211e79511e3d8180	6cce927335466a5ae8bd542f80cc149f85513eb6fd68ef5adc3399a79f7b3fb4	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	bf254973de975fbd981eb31993756815d8e909a2b4d1499cb0f647edcd58d451	runs/S1-20260805-086/result.json	27cface4e4e4d0e6f96fa73bbe2210a32a8ee58613f1907481ee8e0771a7dd99	runs/S1-20260805-086/OUT.s1_al_v094_ksdft_next_kmesh/running_scf.log	ff17f64320073d00ffb54d10303987a51c849718b522c7e400d181a62e9a6f12	3	1	17	chg.cube	pot.cube
21	P2	S1-20260806-009	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-009	al	0.97	half	0.00367493	28x28x28	common_dense_half_eos	S1-20260805-087	runs/S1-20260805-087	dd78df2c0d0449556c2c4c289907b2880bf71412	S1-20260805-087		S1-20260805-087	g1tlr1_al_v097_half	a01db73bc2d384746bc10c2a20721ee75f44cf57f34a6fc64566ba463dac026d	afbc4693ab7f9da60ef2058d39a42af782e41982f8e64f06ee52a66b76c4150f	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	178aadbba209f4d66108e9c3b91e4e4581bfc56620929b9ae0cbe697d62d9628	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	132a579eff95d1d2307e959048d56dc958924c35b36ecbca520b0e6309b81856	afbc4693ab7f9da60ef2058d39a42af782e41982f8e64f06ee52a66b76c4150f	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	98f326032537f31776d2c7f57658574258a2d4f864ba2b6a2160e465cd944ffd	runs/S1-20260805-087/result.json	d62dd597758c2c2583439e466a93efabbcbdc96880e7380974ac7bc58aee98e0	runs/S1-20260805-087/OUT.s1_al_v097_ksdft_next_kmesh/running_scf.log	6b3f6b415dbec2b7a81b1871b31168679be6c9334a3675bdb3f4c267f1e8159b	3	1	17	chg.cube	pot.cube
22	P2	S1-20260806-010	inputs/s1/g1_thermodynamic_label_audit_r1/S1-20260806-010	al	1.00	half	0.00367493	28x28x28	common_dense_half_eos	S1-20260805-088	runs/S1-20260805-088	2dec5d9b4b54769666814d4090b0252ec29afd77	S1-20260805-088		S1-20260805-088	g1tlr1_al_v100_half	238a58978f07efcd8d458ac146a775e04d4432eac019951bcf8334590a1ba779	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	833d9a5ef22a66e925161c316ee4ae487f98d1586afef88bb5aff8e708038876	al.gga.psp	d76ceac60058e230eac514fc419269433a33b199eb6abfa7d6ab43cde248bd1d	3867a0c98b25ced4c7c3c0cc806e4c2bc287f13dcf4e7b077320d43f8f02aa69	31279eb4f9a5a6ad20376271c79c03a8ead1676cb697b5065515041f6799d437	0903e64e14f6e451103ae0d60e2b3afe07dbbee7aaabff907df214bfd1eb0bc8	4d7744543f06b77b136c50026beb82e0fea2ab21e544582fbb5f959543df659e	runs/S1-20260805-088/result.json	62d967f35205f79578a7cafb52786fe6a6cd82c61dc929be07589d35862e409b	runs/S1-20260805-088/OUT.s1_al_v100_ksdft_next_kmesh/running_scf.log	7f3846a7184b6b9ec35a074d76d968d62843ff9f7958a38739aca02b17f34369	3	1	17	chg.cube	pot.cube
