execution_index	experiment_id	phase	requirement	material	volume_ratio	role	ecutwfc_ry	ecutrho_ry	kmesh	atom_count	expected_electrons	pseudo_basename	pseudo_sha256	suffix
1	S1-20260810-301	p0	p0_required	al	1.00	normal_common	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v100_normal_common
2	S1-20260810-302	p0	p0_required	al	1.00	normal_extra_k	40	160	32x32x32	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v100_normal_extra
3	S1-20260810-303	p0	p0_required	al	1.00	high_extra_k	52	208	32x32x32	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v100_high_extra
4	S1-20260810-304	p0	p0_required	mg	1.00	normal_common	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v100_normal_common
5	S1-20260810-305	p0	p0_required	mg	1.00	normal_extra_k	84	336	28x28x18	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v100_normal_extra
6	S1-20260810-306	p0	p0_required	mg	1.00	high_extra_k	96	384	28x28x18	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v100_high_extra
7	S1-20260810-307	al_eos	al_hard_required	al	0.90	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v090_normal_common
8	S1-20260810-308	al_eos	al_hard_required	al	1.10	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v110_normal_common
9	S1-20260810-309	al_eos	al_hard_required	al	0.94	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v094_normal_common
10	S1-20260810-310	al_eos	al_hard_required	al	0.97	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v097_normal_common
11	S1-20260810-311	al_eos	al_hard_required	al	1.03	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v103_normal_common
12	S1-20260810-312	al_eos	al_hard_required	al	1.06	normal_common_eos	40	160	28x28x28	1	3	Al_std.upf	b02eaa07c5d98f5eeae1bec4155854a7a94ea3635ca6b42e914f3f7ebd6912fb	g1tlr1_al_v106_normal_common
13	S1-20260810-313	mg_required	mg_diagnostic_required	mg	0.90	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v090_normal_common
14	S1-20260810-314	mg_required	mg_diagnostic_required	mg	1.10	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v110_normal_common
15	S1-20260810-315	mg_optional	mg_diagnostic_optional	mg	0.94	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v094_normal_common
16	S1-20260810-316	mg_optional	mg_diagnostic_optional	mg	0.97	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v097_normal_common
17	S1-20260810-317	mg_optional	mg_diagnostic_optional	mg	1.03	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v103_normal_common
18	S1-20260810-318	mg_optional	mg_diagnostic_optional	mg	1.06	normal_common_diag	84	336	24x24x16	2	20	Mg_std.upf	15cdd9380687a47a1f4bc4ab5fe1f0c6d9c50891350fd8534c8f292b3ce0be14	g1tlr1_mg_v106_normal_common
