experiment_id	input_directory	material	series_id	comparison_axis	volume_ratio	reference_experiment_id	input_metadata_sha256
S1-20260805-071	inputs/s1/non_equilibrium_convergence/al/v090/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	0.9	S1-20260805-029	70dd577902bbee42c9a181d4e0b348e6c790c80c6fc055ea68d1a7b4154df4d3
S1-20260805-072	inputs/s1/non_equilibrium_convergence/al/v094/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	0.94	S1-20260805-030	5f4b396060c609540e6f5c40ef74b766985f59eb5c6805a6fc3e96700417d1a4
S1-20260805-073	inputs/s1/non_equilibrium_convergence/al/v097/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	0.97	S1-20260805-031	7f04087e3493ae12246b8a9b765e4939f7136d92122822d1bca51de81b7af5b7
S1-20260805-074	inputs/s1/non_equilibrium_convergence/al/v100/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	1.0	S1-20260805-032	df32816dec0d500442a4f5ac1a841312eaf550cc1b1ec2f0caa8d2de9d2e3b71
S1-20260805-075	inputs/s1/non_equilibrium_convergence/al/v103/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	1.03	S1-20260805-033	4699b2933feb5e158019ea80843a5d923b96391e798b2d0ed41a622e10efacdd
S1-20260805-076	inputs/s1/non_equilibrium_convergence/al/v106/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	1.06	S1-20260805-034	7543cbd06d1768b80c980b5e76f319f0afc0246baa1269b2f6cc75b23acf6459
S1-20260805-077	inputs/s1/non_equilibrium_convergence/al/v110/ofdft_next_cutoff	al	ofdft_next_cutoff	cutoff	1.1	S1-20260805-035	a613b658e39c59d6837bfe9dbe84590a3b14ed2cc1d82b1ba5fe1fddbe7d4292
S1-20260805-078	inputs/s1/non_equilibrium_convergence/al/v090/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	0.9	S1-20260805-036	b5f7152adc299f92edf31bf2e23e09fc340de96cc17df5e1e0fe93f2cc528778
S1-20260805-079	inputs/s1/non_equilibrium_convergence/al/v094/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	0.94	S1-20260805-037	9812d4f95bf6821cbc6ba28769d3dddb72986ad25e1be840537f4b1eec464fc1
S1-20260805-080	inputs/s1/non_equilibrium_convergence/al/v097/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	0.97	S1-20260805-038	5a285a0b3eebcfeec2c1391cb5f95ef690a7fdee84a7a5472c33f698f09c82b6
S1-20260805-081	inputs/s1/non_equilibrium_convergence/al/v100/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	1.0	S1-20260805-039	7e5869877df53103462eeb5003510421b06854b53cc4fb66835ba4a8fa18bfae
S1-20260805-082	inputs/s1/non_equilibrium_convergence/al/v103/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	1.03	S1-20260805-040	14cf0f062701a23d7d44983e2235f5ca8dcf069dc0f074993389da23d51e86a0
S1-20260805-083	inputs/s1/non_equilibrium_convergence/al/v106/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	1.06	S1-20260805-041	542df843d9b40423071a071b280a9ecb455d82ae2f72e260b7be126092651df4
S1-20260805-084	inputs/s1/non_equilibrium_convergence/al/v110/ksdft_next_cutoff	al	ksdft_next_cutoff	cutoff	1.1	S1-20260805-042	eb41e837ae99da2c429fb9b55868af03ba35e9429a6e4925b870889af5a5177b
S1-20260805-085	inputs/s1/non_equilibrium_convergence/al/v090/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	0.9	S1-20260805-036	a21951456515c133d140be36e1d7708fdf49968428ecf2c149d8a425576fd577
S1-20260805-086	inputs/s1/non_equilibrium_convergence/al/v094/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	0.94	S1-20260805-037	bf254973de975fbd981eb31993756815d8e909a2b4d1499cb0f647edcd58d451
S1-20260805-087	inputs/s1/non_equilibrium_convergence/al/v097/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	0.97	S1-20260805-038	98f326032537f31776d2c7f57658574258a2d4f864ba2b6a2160e465cd944ffd
S1-20260805-088	inputs/s1/non_equilibrium_convergence/al/v100/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	1.0	S1-20260805-039	4d7744543f06b77b136c50026beb82e0fea2ab21e544582fbb5f959543df659e
S1-20260805-089	inputs/s1/non_equilibrium_convergence/al/v103/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	1.03	S1-20260805-040	c2c7de7ef11473fc2ef4fce170973ab5c3e4bad017d554bf6ce02f519d813483
S1-20260805-090	inputs/s1/non_equilibrium_convergence/al/v106/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	1.06	S1-20260805-041	1d0d847307800656b38586e3e6fa03ea995d23b4a556c4376b99ec6b8d24fdc6
S1-20260805-091	inputs/s1/non_equilibrium_convergence/al/v110/ksdft_next_kmesh	al	ksdft_next_kmesh	kmesh	1.1	S1-20260805-042	0407de2b153eb56cd5122c35d192269b5a07ac607746375d449286a6a04c2420
S1-20260805-092	inputs/s1/non_equilibrium_convergence/mg/v090/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	0.9	S1-20260805-050	eb6cc6859f28e26fb4b366588ec862e00fcb61efc1469bbab67518e88fc710dc
S1-20260805-093	inputs/s1/non_equilibrium_convergence/mg/v094/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	0.94	S1-20260805-051	458d779d3d37708523f389fc33b19939341f8721dc1854619b7a9a033dbd7043
S1-20260805-094	inputs/s1/non_equilibrium_convergence/mg/v097/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	0.97	S1-20260805-052	7c5d47d4ca3b0185d1ba9f0c8d6cea7473cebd37b81b0b838e2d4bfc8a2403c9
S1-20260805-095	inputs/s1/non_equilibrium_convergence/mg/v100/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	1.0	S1-20260805-053	7b866158c17dd592469e88c63e9c5c624b476f9daa9a0539e29a8bd52718cb10
S1-20260805-096	inputs/s1/non_equilibrium_convergence/mg/v103/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	1.03	S1-20260805-054	c5093073059364c334544a274418b7d9a580478e3440b4e9712e94fc77b4cd90
S1-20260805-097	inputs/s1/non_equilibrium_convergence/mg/v106/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	1.06	S1-20260805-055	899a9b85295472dd08b9038f2ab6252fc021e0c74d94928a060dbc68bb9e80f1
S1-20260805-098	inputs/s1/non_equilibrium_convergence/mg/v110/ofdft_next_cutoff	mg	ofdft_next_cutoff	cutoff	1.1	S1-20260805-056	9442803c6b0b91bd570597008410f9b657b9024c10042d4a57038439534c353e
S1-20260805-099	inputs/s1/non_equilibrium_convergence/mg/v090/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	0.9	S1-20260805-057	0195f6bc3fc92937f29b9cce7e103088f9ea709283823da372dba17994fe1c64
S1-20260805-100	inputs/s1/non_equilibrium_convergence/mg/v094/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	0.94	S1-20260805-058	a0fdd96d452ea82e280ed4865178576606637e55987386dfffec764eb1620a80
S1-20260805-101	inputs/s1/non_equilibrium_convergence/mg/v097/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	0.97	S1-20260805-059	2edd0472ab5bd5f12420fbb1fdc23e5ddbdad034df21855dde5b300942cef0c3
S1-20260805-102	inputs/s1/non_equilibrium_convergence/mg/v100/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	1.0	S1-20260805-060	5da849c8ca973f72de8902c4fae65b4c9c938b6b76bc504fa3b783b824377e12
S1-20260805-103	inputs/s1/non_equilibrium_convergence/mg/v103/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	1.03	S1-20260805-061	3e3ba19469b99b87ae57ca7d3cd04e67d294b1496d996a4ccbb4490dfa45c6e9
S1-20260805-104	inputs/s1/non_equilibrium_convergence/mg/v106/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	1.06	S1-20260805-062	a43bba18ee8566e43b74cd016a3d2275274dc8dcb853ed2829f81b58f3115c61
S1-20260805-105	inputs/s1/non_equilibrium_convergence/mg/v110/ksdft_next_cutoff	mg	ksdft_next_cutoff	cutoff	1.1	S1-20260805-063	97bc7d5ee7ec42f4558f2a73610ca0aa3d93c2f4af6f7cb6c4f5d8b88ed0608c
S1-20260805-106	inputs/s1/non_equilibrium_convergence/mg/v090/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	0.9	S1-20260805-057	aa6f2607801be2ebfe4eaeaad72747e4e8996b5a6b6801a370be252d2a6fed04
S1-20260805-107	inputs/s1/non_equilibrium_convergence/mg/v094/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	0.94	S1-20260805-058	8794b6b0c222e311a06f8c88e77edc093466bcd3c7c83b2ffb4dc005629e704a
S1-20260805-108	inputs/s1/non_equilibrium_convergence/mg/v097/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	0.97	S1-20260805-059	28d34d5fb6e7991496c5193982c91b6c56a37a566ab4ea5b21de2d53f40bcd34
S1-20260805-109	inputs/s1/non_equilibrium_convergence/mg/v100/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	1.0	S1-20260805-060	c0e159319038c98333a6fb1506a9e96d6abfbfcd3d6c907ac6ac5d7c5d71e926
S1-20260805-110	inputs/s1/non_equilibrium_convergence/mg/v103/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	1.03	S1-20260805-061	d30b393ab7fb8a8418b70020f158e29a0ec7bc419f16c654da6af5d1296995a6
S1-20260805-111	inputs/s1/non_equilibrium_convergence/mg/v106/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	1.06	S1-20260805-062	add5d1e64ead89122f67ff37f6fc08856b8a5aa07253147aafb7c5eab7d88835
S1-20260805-112	inputs/s1/non_equilibrium_convergence/mg/v110/ksdft_next_kmesh	mg	ksdft_next_kmesh	kmesh	1.1	S1-20260805-063	f36a76e516a87c1ef57201b2b4848447ea6ed5ca0e6eaa1694df2c1b65ead816
